ID;Index;EnglishName;ChineseName;Level;Notes
Monster_Ancient_BoneFighter0;103;Ancient_BoneFighter0;远古骷髅战士0;19;
Monster_BoneWarrior;92;BoneWarrior;骷髅勇士;19;
Monster_BoneWarrior0;93;BoneWarrior0;骷髅勇士0;19;
Monster_BoneFighter;90;BoneFighter;骷髅战士;20;
Monster_BoneFighter0;91;BoneFighter0;骷髅战士0;20;
Monster_CannibalPlant;47;CannibalPlant;食人花;20;
Monster_CaveBat;81;CaveBat;山洞蝙蝠;20;
Monster_CaveBat0;82;CaveBat0;山洞蝙蝠0;20;
Monster_GhostZombie;495;GhostZombie;幽灵僵尸;22;
Monster_OmaFighter;50;OmaFighter;半兽战士;22;
Monster_OmaFighter0;51;OmaFighter0;半兽战士0;22;
Monster_CrawlerZombie;128;CrawlerZombie;爬行僵尸;25;
Monster_CrawlerZombie0;129;CrawlerZombie0;爬行僵尸0;25;
Monster_DarkPriestZombie;496;DarkPriestZombie;暗黑祭司僵尸;25;
Monster_NdZombie;126;NdZombie;普通僵尸;25;
Monster_NdZombie0;127;NdZombie0;普通僵尸0;25;
Monster_PriestZombie;122;PriestZombie;祭司僵尸;25;
Monster_PriestZombie0;123;PriestZombie0;祭司僵尸0;25;
Monster_RotNdZombie;132;RotNdZombie;腐烂僵尸;25;
Monster_RotShamanZombie;133;RotShamanZombie;腐烂萨满僵尸;25;
Monster_ShamanZombie;130;ShamanZombie;萨满僵尸;25;
Monster_ShamanZombie0;131;ShamanZombie0;萨满僵尸0;25;
Monster_Zombie1;108;Zombie1;僵尸1;25;
Monster_Zombie10;109;Zombie10;僵尸10;25;
Monster_Zombie2;110;Zombie2;僵尸2;25;
Monster_Zombie20;111;Zombie20;僵尸20;25;
Monster_Zombie4;114;Zombie4;僵尸4;25;
Monster_Zombie40;115;Zombie40;僵尸40;25;
Monster_Zombie5;116;Zombie5;僵尸5;25;
Monster_Zombie50;117;Zombie50;僵尸50;25;
Monster_Zombie51;134;Zombie51;僵尸51;25;
Monster_BlueHoroBlaster;233;BlueHoroBlaster;蓝色气旋怪;26;
Monster_BlueHoroBlaster0;234;BlueHoroBlaster0;蓝色气旋怪0;26;
Monster_Centipede;152;Centipede;蜈蚣;26;
Monster_Centipede0;153;Centipede0;蜈蚣0;26;
Monster_Dark;240;Dark;暗黑战士;26;
Monster_Dark0;241;Dark0;暗黑战士0;26;
Monster_Dung;242;Dung;粪虫;26;
Monster_Dung0;243;Dung0;粪虫0;26;
Monster_GiantWorm;154;GiantWorm;巨型洞蛆;26;
Monster_GiantWorm0;155;GiantWorm0;巨型洞蛆0;26;
Monster_WhimperingBee;156;WhimperingBee;哀鸣蜂;26;
Monster_WhimperingBee0;157;WhimperingBee0;哀鸣蜂0;26;
Monster_GiantKeratoid;78;GiantKeratoid;巨型多角虫;27;
Monster_GiantKeratoid1;79;GiantKeratoid1;巨型多角虫1;27;
Monster_GiantKeratoid2;80;GiantKeratoid2;巨型多角虫2;27;
Monster_HoroBlaster;231;HoroBlaster;气旋怪;27;
Monster_HoroBlaster0;232;HoroBlaster0;气旋怪0;27;
Monster_SpiderFrog;229;SpiderFrog;蜘蛛蛙;27;
Monster_SpiderFrog0;230;SpiderFrog0;蜘蛛蛙0;27;
Monster_Ancient_BlackMaggot;182;Ancient_BlackMaggot;远古黑蠕虫;28;
Monster_Ancient_BlackMaggot0;183;Ancient_BlackMaggot0;远古黑蠕虫0;28;
Monster_BlackMaggot;150;BlackMaggot;黑蠕虫;28;
Monster_BlackMaggot0;151;BlackMaggot0;黑蠕虫0;28;
Monster_KekTal;235;KekTal;凯克塔尔;28;
Monster_KekTal0;236;KekTal0;凯克塔尔0;28;
Monster_OmaWarrior;52;OmaWarrior;半兽勇士;28;
Monster_OmaWarrior1;53;OmaWarrior1;半兽勇士1;28;
Monster_OmaWarrior2;54;OmaWarrior2;半兽勇士2;28;
Monster_VioletKekTal;237;VioletKekTal;紫色凯克塔尔;28;
Monster_VioletKekTal0;238;VioletKekTal0;紫色凯克塔尔0;28;
Monster_AssassinClone;14;AssassinClone;刺客幻影;30;
Monster_BugBatMaggot;167;BugBatMaggot;蝙蝠幼虫;30;
Monster_Clone;13;Clone;幻影分身;30;
Monster_CursedPriest;290;CursedPriest;被诅咒的祭司;30;
Monster_CursedPriest0;291;CursedPriest0;被诅咒的祭司0;30;
Monster_CursedZombie;292;CursedZombie;被诅咒的僵尸;30;
Monster_CursedZombie0;293;CursedZombie0;被诅咒的僵尸0;30;
Monster_HolyDeva;12;HolyDeva;圣灵;30;
Monster_HungryZombie;294;HungryZombie;饥饿僵尸;30;
Monster_HungryZombie0;295;HungryZombie0;饥饿僵尸0;30;
Monster_ShiZombie;296;ShiZombie;尸僵;30;
Monster_ShiZombie0;297;ShiZombie0;尸僵0;30;
Monster_WoomaFighter;246;WoomaFighter;沃玛战士;30;
Monster_WoomaFighter0;247;WoomaFighter0;沃玛战士0;30;
Monster_WoomaSoldier;244;WoomaSoldier;沃玛勇士;30;
Monster_WoomaSoldier0;245;WoomaSoldier0;沃玛勇士0;30;
Monster_WoomaWarrior;248;WoomaWarrior;沃玛战将;30;
Monster_WoomaWarrior0;249;WoomaWarrior0;沃玛战将0;30;
Monster_CaveMaggot;83;CaveMaggot;洞蛆;31;
Monster_CursedShaman;288;CursedShaman;被诅咒的萨满;31;
Monster_CursedShaman0;289;CursedShaman0;被诅咒的萨满0;31;
Monster_FlamingWooma;250;FlamingWooma;火焰沃玛;31;
Monster_FlamingWooma0;251;FlamingWooma0;火焰沃玛0;31;
Monster_Tongs;158;Tongs;钳虫;31;
Monster_Tongs0;159;Tongs0;钳虫0;31;
Monster_RedBoar;168;RedBoar;红野猪;32;
Monster_RedBoar0;169;RedBoar0;红野猪0;32;
Monster_RedBoar3;170;RedBoar3;红野猪3;32;
Monster_Shinsu;10;Shinsu;神兽;32;
Monster_Shinsu1;11;Shinsu1;神兽1;32;
Monster_WedgeMoth;165;WedgeMoth;楔形飞蛾;32;
Monster_Ancient_ToxicGhoul;354;Ancient_ToxicGhoul;远古毒尸鬼;33;
Monster_ToxicGhoul;341;ToxicGhoul;毒尸鬼;33;
Monster_ToxicGhoul0;342;ToxicGhoul0;毒尸鬼0;33;
Monster_BloodPriest;286;BloodPriest;血祭司;34;
Monster_BloodPriest0;287;BloodPriest0;血祭司0;34;
Monster_GiantRat;192;GiantRat;巨型老鼠;34;
Monster_GiantRat0;193;GiantRat0;巨型老鼠0;34;
Monster_ToxicZombie;298;ToxicZombie;毒僵尸;34;
Monster_ToxicZombie0;299;ToxicZombie0;毒僵尸0;34;
Monster_Ancient_RoninGhoul;355;Ancient_RoninGhoul;远古浪人尸鬼;35;
Monster_Ancient_SnakeScorpion;184;Ancient_SnakeScorpion;远古蛇蝎;35;
Monster_Ancient_SnakeScorpion0;185;Ancient_SnakeScorpion0;远古蛇蝎0;35;
Monster_BlackBoar;171;BlackBoar;黑野猪;35;
Monster_BlackBoar0;172;BlackBoar0;黑野猪0;35;
Monster_BlackBoar3;173;BlackBoar3;黑野猪3;35;
Monster_RedFrogSpider;227;RedFrogSpider;红蛙蜘蛛;35;
Monster_RoninGhoul;343;RoninGhoul;浪人尸鬼;35;
Monster_RoninGhoul0;344;RoninGhoul0;浪人尸鬼0;35;
Monster_SnakeScorpion;177;SnakeScorpion;蛇蝎;35;
Monster_SnakeScorpion0;178;SnakeScorpion0;蛇蝎0;35;
Monster_SnakeScorpion3;179;SnakeScorpion3;蛇蝎3;35;
Monster_ElectricElement;222;ElectricElement;电元素;37;
Monster_Ancient_BoneArcher;356;Ancient_BoneArcher;远古骷髅弓手;38;
Monster_Ancient_GiantRat;207;Ancient_GiantRat;远古巨型老鼠;38;
Monster_Ancient_GiantRat0;208;Ancient_GiantRat0;远古巨型老鼠0;38;
Monster_BoneArcher;345;BoneArcher;骷髅弓手;38;
Monster_BoneArcher0;346;BoneArcher0;骷髅弓手0;38;
Monster_HedgeKekTal;224;HedgeKekTal;荆棘凯克塔尔;38;
Monster_CloudElement;223;CloudElement;云元素;39;
Monster_Ancient_ZumaArcher;209;Ancient_ZumaArcher;远古祖玛弓箭手;40;
Monster_Ancient_ZumaArcher0;210;Ancient_ZumaArcher0;远古祖玛弓箭手0;40;
Monster_BigHedgeKekTal;225;BigHedgeKekTal;巨型荆棘凯克塔尔;40;
Monster_EliteArcher;145;EliteArcher;精英弓箭手;40;
Monster_GreatGhoul;300;GreatGhoul;高等尸鬼;40;
Monster_TurtleGrass;442;TurtleGrass;乌龟草怪;40;
Monster_VenomSpider;304;VenomSpider;毒蜘蛛;40;
Monster_ZumaArcher;194;ZumaArcher;祖玛弓箭手;40;
Monster_ZumaArcher0;195;ZumaArcher0;祖玛弓箭手0;40;
Monster_ZumaArcher3;196;ZumaArcher3;祖玛弓箭手3;40;
Monster_Ancient_BoneSpearman;358;Ancient_BoneSpearman;远古骷髅枪兵;42;
Monster_BoneSpearman;349;BoneSpearman;骷髅枪兵;42;
Monster_BoneSpearman0;350;BoneSpearman0;骷髅枪兵0;42;
Monster_Minotaur;361;Minotaur;牛头怪;42;
Monster_Minotaur0;362;Minotaur0;牛头怪0;42;
Monster_BrownFrogSpider;226;BrownFrogSpider;棕蛙蜘蛛;43;
Monster_Ancient_BoneBlademan;357;Ancient_BoneBlademan;远古骷髅剑士;45;
Monster_BoneBlademan;347;BoneBlademan;骷髅剑士;45;
Monster_BoneBlademan0;348;BoneBlademan0;骷髅剑士0;45;
Monster_GangSpider;307;GangSpider;群居蜘蛛;45;
Monster_GangSpider0;308;GangSpider0;群居蜘蛛0;45;
Monster_GangSpider3;309;GangSpider3;群居蜘蛛3;45;
Monster_GreatSpider;310;GreatSpider;巨型蜘蛛;45;
Monster_GreatSpider0;311;GreatSpider0;巨型蜘蛛0;45;
Monster_GreatSpider3;312;GreatSpider3;巨型蜘蛛3;45;
Monster_ZumaStatue20;273;ZumaStatue20;祖玛石像20;45;
Monster_ZumaStatue21;274;ZumaStatue21;祖玛石像21;45;
Monster_FrostTiger;57;FrostTiger;霜虎;47;
Monster_ZumaArcher20;271;ZumaArcher20;祖玛弓箭手20;47;
Monster_ZumaArcher21;272;ZumaArcher21;祖玛弓箭手21;47;
Monster_ZumaGuardian20;275;ZumaGuardian20;祖玛守卫20;47;
Monster_ZumaGuardian21;276;ZumaGuardian21;祖玛守卫21;47;
Monster_ElectricMinotaur;365;ElectricMinotaur;雷电牛头怪;48;
Monster_ElectricMinotaur0;366;ElectricMinotaur0;雷电牛头怪0;48;
Monster_FireMinotaur;369;FireMinotaur;火焰牛头怪;48;
Monster_FireMinotaur0;370;FireMinotaur0;火焰牛头怪0;48;
Monster_IceMinotaur;363;IceMinotaur;冰霜牛头怪;48;
Monster_IceMinotaur0;364;IceMinotaur0;冰霜牛头怪0;48;
Monster_WindMinotaur;367;WindMinotaur;疾风牛头怪;48;
Monster_WindMinotaur0;368;WindMinotaur0;疾风牛头怪0;48;
Monster_Ancient_BoneCaptain;359;Ancient_BoneCaptain;远古骷髅队长;49;
Monster_BoneCaptain;351;BoneCaptain;骷髅队长;49;
Monster_BoneCaptain0;352;BoneCaptain0;骷髅队长0;49;
Monster_LeftGuard;373;LeftGuard;左护卫;49;
Monster_LeftGuard0;374;LeftGuard0;左护卫0;49;
Monster_RightGuard;371;RightGuard;右护卫;49;
Monster_RightGuard0;372;RightGuard0;右护卫0;49;
Monster_Ancient_BlackBoar;188;Ancient_BlackBoar;远古黑野猪;50;
Monster_Ancient_BlackBoar0;189;Ancient_BlackBoar0;远古黑野猪0;50;
Monster_Ancient_RedBoar;186;Ancient_RedBoar;远古红野猪;50;
Monster_Ancient_RedBoar0;187;Ancient_RedBoar0;远古红野猪0;50;
Monster_Ancient_WhiteBoar;190;Ancient_WhiteBoar;远古白野猪;50;
Monster_Ancient_ZumaGuardian;213;Ancient_ZumaGuardian;远古祖玛守卫;50;
Monster_Ancient_ZumaGuardian0;214;Ancient_ZumaGuardian0;远古祖玛守卫0;50;
Monster_Ancient_ZumaStatue;211;Ancient_ZumaStatue;远古祖玛石像;50;
Monster_Ancient_ZumaStatue0;212;Ancient_ZumaStatue0;远古祖玛石像0;50;
Monster_ArmingWeaver;333;ArmingWeaver;武装织网蛛;50;
Monster_BoneElite;94;BoneElite;精英骷髅;50;
Monster_BoneElite1;95;BoneElite1;精英骷髅1;50;
Monster_BoneElite2;96;BoneElite2;精英骷髅2;50;
Monster_BoneElite9;97;BoneElite9;精英骷髅9;50;
Monster_BoneWhoo;107;BoneWhoo;咆哮骷髅;50;
Monster_ChainGhoul;497;ChainGhoul;锁链尸鬼;50;
Monster_CrackingWeaver;332;CrackingWeaver;裂纹织网蛛;50;
Monster_CrystalWeaver;334;CrystalWeaver;水晶织网蛛;50;
Monster_Demon1;400;Demon1;恶魔1;50;
Monster_Demon2;401;Demon2;恶魔2;50;
Monster_EliteGuardian;147;EliteGuardian;精英守卫;50;
Monster_EliteStatue;146;EliteStatue;精英石像;50;
Monster_EvilSnake;180;EvilSnake;邪恶毒蛇;50;
Monster_EvilSnake1;181;EvilSnake1;邪恶毒蛇1;50;
Monster_EvilSnake20;267;EvilSnake20;邪恶毒蛇20;50;
Monster_EvilSnake21;268;EvilSnake21;邪恶毒蛇21;50;
Monster_EvilTongs20;265;EvilTongs20;邪恶钳虫20;50;
Monster_EvilTongs21;266;EvilTongs21;邪恶钳虫21;50;
Monster_FlamingWooma2;252;FlamingWooma2;火焰沃玛2;50;
Monster_FrozenDoor;404;FrozenDoor;冰封之门;50;
Monster_Ghoul;118;Ghoul;尸鬼;50;
Monster_Ghoul1;119;Ghoul1;尸鬼1;50;
Monster_Ghoul10;137;Ghoul10;尸鬼10;50;
Monster_Ghoul2;120;Ghoul2;尸鬼2;50;
Monster_Ghoul20;269;Ghoul20;尸鬼20;50;
Monster_Ghoul21;270;Ghoul21;尸鬼21;50;
Monster_Ghoul4;121;Ghoul4;尸鬼4;50;
Monster_GreaterWeaver;335;GreaterWeaver;强化织网蛛;50;
Monster_HellBomb1;524;HellBomb1;地狱炸弹1;50;
Monster_HellBomb2;525;HellBomb2;地狱炸弹2;50;
Monster_HellBomb3;526;HellBomb3;地狱炸弹3;50;
Monster_HiGreatGhoul;135;HiGreatGhoul;高级尸鬼;50;
Monster_IcePilar;405;IcePilar;冰柱;50;
Monster_Khazard;239;Khazard;哈扎德;50;
Monster_ManectricBlest;402;ManectricBlest;强化雷电兽;50;
Monster_ManectricClaw;397;ManectricClaw;雷电爪兽;50;
Monster_ManectricClub;396;ManectricClub;雷电棍兽;50;
Monster_ManectricHammer;395;ManectricHammer;雷电锤兽;50;
Monster_ManectricSlave;399;ManectricSlave;雷电奴兽;50;
Monster_ManectricStaff;398;ManectricStaff;雷电杖兽;50;
Monster_PalaceWall1;570;PalaceWall1;皇宫城墙1;50;
Monster_PalaceWall2;571;PalaceWall2;皇宫城墙2;50;
Monster_PalaceWallLeft;569;PalaceWallLeft;皇宫左侧城墙;50;
Monster_SabukGate;568;SabukGate;沙巴克城门;50;
Monster_Slave2;439;Slave2;奴隶2;50;
Monster_SpiderBarbarian;337;SpiderBarbarian;蛮族蜘蛛;50;
Monster_SpiderWarrior;336;SpiderWarrior;战士蜘蛛;50;
Monster_StoneTrap;567;StoneTrap;石化陷阱;50;
Monster_ValeBat;328;ValeBat;山谷蝙蝠;50;
Monster_ValeBat2;329;ValeBat2;山谷蝙蝠2;50;
Monster_VenomSpider0;305;VenomSpider0;毒蜘蛛0;50;
Monster_VenomWeaver;331;VenomWeaver;剧毒织网蛛;50;
Monster_Weaver;330;Weaver;织网蛛;50;
Monster_WhiteBoar;174;WhiteBoar;白野猪;50;
Monster_WhiteBoar0;175;WhiteBoar0;白野猪0;50;
Monster_WhiteBoar1;176;WhiteBoar1;白野猪1;50;
Monster_WhiteBoar20;277;WhiteBoar20;白野猪20;50;
Monster_WhiteBoar21;278;WhiteBoar21;白野猪21;50;
Monster_WhiteSerpent;136;WhiteSerpent;白蛇;50;
Monster_WoomaGuardian;253;WoomaGuardian;沃玛护卫;50;
Monster_WoomaGuardian1;254;WoomaGuardian1;沃玛护卫1;50;
Monster_WoomaGuardian2;255;WoomaGuardian2;沃玛护卫2;50;
Monster_WoomaGuardian5;279;WoomaGuardian5;沃玛护卫5;50;
Monster_WoomaGuardian6;280;WoomaGuardian6;沃玛护卫6;50;
Monster_ZumaGuardian;200;ZumaGuardian;祖玛守卫;50;
Monster_ZumaGuardian0;201;ZumaGuardian0;祖玛守卫0;50;
Monster_ZumaGuardian00;203;ZumaGuardian00;祖玛守卫00;50;
Monster_ZumaGuardian3;202;ZumaGuardian3;祖玛守卫3;50;
Monster_ZumaStatue;197;ZumaStatue;祖玛石像;50;
Monster_ZumaStatue0;198;ZumaStatue0;祖玛石像0;50;
Monster_ZumaStatue3;199;ZumaStatue3;祖玛石像3;50;
Monster_BigApe;316;BigApe;巨猿;52;
Monster_BigApe0;317;BigApe0;巨猿0;52;
Monster_BigApe3;318;BigApe3;巨猿3;52;
Monster_BombSpider;301;BombSpider;自爆蜘蛛;52;
Monster_CrystalSpider;323;CrystalSpider;水晶蜘蛛;52;
Monster_EvilApeSobo;326;EvilApeSobo;索波邪猿;52;
Monster_GuardianRock;221;GuardianRock;守护岩石;52;
Monster_SpiderBat;303;SpiderBat;蝙蝠蜘蛛;52;
Monster_TrapRock;219;TrapRock;陷阱岩石;52;
Monster_TrapRock1;220;TrapRock1;陷阱岩石1;52;
Monster_Ancient_WoomaFighter;260;Ancient_WoomaFighter;远古沃玛战士;53;
Monster_Ancient_WoomaSoldier;259;Ancient_WoomaSoldier;远古沃玛勇士;53;
Monster_Ancient_WoomaWarrior;261;Ancient_WoomaWarrior;远古沃玛战将;53;
Monster_RootSpider;302;RootSpider;根须蜘蛛;53;
Monster_Ancient_FlamingWooma;262;Ancient_FlamingWooma;远古火焰沃玛;54;
Monster_Ancient_RedThunderZuma;215;Ancient_RedThunderZuma;远古雷电祖玛;54;
Monster_Armadillo;468;Armadillo;犰狳;54;
Monster_AxeOma;376;AxeOma;斧斩半兽人;54;
Monster_AxeOma0;377;AxeOma0;斧斩半兽人0;54;
Monster_RedThunderZuma;204;RedThunderZuma;雷电祖玛;54;
Monster_SandSnail;471;SandSnail;沙漠蜗牛;54;
Monster_SwordOma;378;SwordOma;剑士半兽人;54;
Monster_SwordOma0;379;SwordOma0;剑士半兽人0;54;
Monster_Tucson;473;Tucson;图森怪;54;
Monster_TucsonFighter;474;TucsonFighter;图森战士;54;
Monster_TucsonMage;475;TucsonMage;图森法师;54;
Monster_TucsonWarrior;476;TucsonWarrior;图森勇士;54;
Monster_BlackFoxMan;217;BlackFoxMan;黑狐人;55;
Monster_BlueViper;138;BlueViper;蓝蝮蛇;55;
Monster_BlueViper0;139;BlueViper0;蓝蝮蛇0;55;
Monster_GreyEvilApe;321;GreyEvilApe;灰色邪猿;55;
Monster_GuardianViper;142;GuardianViper;守护蝮蛇;55;
Monster_RedEvilApe;322;RedEvilApe;红色邪猿;55;
Monster_RedFoxMan;216;RedFoxMan;红狐人;55;
Monster_WhiteFoxMan;218;WhiteFoxMan;白狐人;55;
Monster_YellowViper;140;YellowViper;黄蝮蛇;55;
Monster_YellowViper0;141;YellowViper0;黄蝮蛇0;55;
Monster_EvilApe;319;EvilApe;邪恶猿;56;
Monster_EvilApe0;320;EvilApe0;邪恶猿0;56;
Monster_EvilBigApe;327;EvilBigApe;邪恶巨猿;56;
Monster_FlailOma;384;FlailOma;连枷半兽人;57;
Monster_FlailOma0;385;FlailOma0;连枷半兽人0;57;
Monster_OmaGuard;386;OmaGuard;半兽护卫;57;
Monster_OmaGuard0;387;OmaGuard0;半兽护卫0;57;
Monster_ArmadilloElder;469;ArmadilloElder;犰狳长老;58;
Monster_CrossbowOma;380;CrossbowOma;弩手半兽人;58;
Monster_CrossbowOma0;381;CrossbowOma0;弩手半兽人0;58;
Monster_WingedOma;382;WingedOma;有翼半兽人;58;
Monster_WingedOma0;383;WingedOma0;有翼半兽人0;58;
Monster_Ancient_BoneLord;360;Ancient_BoneLord;远古骷髅王;60;
Monster_BlackHammerCat;460;BlackHammerCat;黑锤猫;60;
