ID;Index;FileName;EnglishName;ChineseName;Notes
Map_GhoulCave;59;Q004;GhoulCave;食尸鬼洞穴;
Map_ConnectionPath;60;E401;ConnectionPath;连接通道;
Map_ConnectionPath;61;E402;ConnectionPath;连接通道;
Map_ConnectionPath;62;E403;ConnectionPath;连接通道;
Map_ConnectionPath;63;E404;ConnectionPath;连接通道;
Map_WoomyonWoods(S);64;1;WoomyonWoods(S);沃玛森林(南);
Map_InsectCave_1F;65;D2041;InsectCave_1F;虫洞一层;
Map_InsectCave_2F;66;D2042;InsectCave_2F;虫洞二层;
Map_InsectCave_3F;67;D2043;InsectCave_3F;虫洞三层;
Map_InsectCave_4F;68;D2044;InsectCave_4F;虫洞四层;
Map_WoomaTempleEntrance;69;D021;WoomaTempleEntrance;沃玛寺庙入口;
Map_WoomaTemple_1F;70;D022;WoomaTemple_1F;沃玛寺庙一层;
Map_WoomaTemple_2F;71;D023;WoomaTemple_2F;沃玛寺庙二层;
Map_WoomaTemple;72;D024;WoomaTemple;沃玛寺庙;
Map_AncientTempleEntrance;73;D021A;AncientTempleEntrance;远古寺庙入口;
Map_AncientTemple_1F;74;D022A;AncientTemple_1F;远古寺庙一层;
Map_AncientTemple_2F;75;D023A;AncientTemple_2F;远古寺庙二层;
Map_AncientTemple;76;D024A;AncientTemple;远古寺庙;
Map_CastleGiRyoong;77;4;CastleGi-Ryoong;吉龙城堡;
Map_InnerCastle;78;B341;InnerCastle;内城;
Map_WeaponStore;79;B342;WeaponStore;武器店;
Map_PotionStore;80;B343;PotionStore;药水店;
Map_AccessoryStore;81;B344;AccessoryStore;饰品店;
Map_DraperyStore;82;B345;DraperyStore;布店;
Map_Prison;83;B346;Prison;监狱;
Map_ItemDepository;84;B347;ItemDepository;物品仓库;
Map_BlackDragonDungeon;85;D2001;BlackDragonDungeon;黑龙地牢;
Map_BlackSnakePalace;86;D2002;BlackSnakePalace;黑蛇宫殿;
Map_BlackDragonDungeon_1F;87;D2003;BlackDragonDungeon_1F;黑龙地牢一层;
Map_BlackDragonDungeon_2F;88;D2004;BlackDragonDungeon_2F;黑龙地牢二层;
Map_PurgatoryHall;89;D2005;PurgatoryHall;炼狱大厅;
Map_WoomaPalace;90;D2006;WoomaPalace;沃玛宫殿;
Map_HwanMaJin;91;D2007;HwanMaJin;幻魔阵;
Map_NobleHogPalace;92;D2008;NobleHogPalace;贵族野猪宫殿;
Map_SoleSpiritHall;93;D2009;SoleSpiritHall;孤魂殿;
Map_HwanMaJin;94;D2010;HwanMaJin;幻魔阵;
Map_ZumaPalace;95;D2011;ZumaPalace;祖玛宫殿;
Map_PrisonHall;96;D2012;PrisonHall;监狱大厅;
Map_DarkDevilPalace;97;D2013;DarkDevilPalace;暗魔宫殿;
Map_WhiteDragonPassage;98;bonguk1;WhiteDragonPassage;白龙通道;
Map_WhiteDragonPassage;99;bonguk2;WhiteDragonPassage;白龙通道;
Map_WhiteDragonHillSide;100;bonguk3;WhiteDragonHillSide;白龙山坡;
Map_WhiteDragonPassage;101;bonguk4;WhiteDragonPassage;白龙通道;
Map_WhiteDragonPassage;102;bonguk5;WhiteDragonPassage;白龙通道;
Map_SeokchoValley;103;UMM;SeokchoValley;石草谷;
Map_TrollMine_1F;104;SG001;TrollMine_1F;巨魔矿坑一层;
Map_TrollMine_2F;105;SG002;TrollMine_2F;巨魔矿坑二层;
Map_TrollMine_3F;106;SG003;TrollMine_3F;巨魔矿坑三层;
Map_TrollMine_4F;107;SG004;TrollMine_4F;巨魔矿坑四层;
Map_WoomyonWoods(N);108;11;WoomyonWoods(N);沃玛森林(北);
Map_Armory;109;1001;Armory;军械库;
Map_Rev.Tao_Office;110;1002;Rev.Tao_Office;道士长办公室;
Map_Laundry;111;1003;Laundry;洗衣房;
Map_Library;112;1004;Library;图书馆;
Map_Item_Lab;113;1005;Item_Lab;物品研究所;
Map_Drug_Store;114;1006;Drug_Store;药店;
Map_Warehouse;115;1007;Warehouse;仓库;
Map_MineralMine_1F;116;D2031;MineralMine_1F;矿物矿区一层;
Map_MineralMine_2F;117;D2032;MineralMine_2F;矿物矿区二层;
Map_MineralMine_3F;118;D2033;MineralMine_3F;矿物矿区三层;
Map_MineralMine_4F;119;D2034;MineralMine_4F;矿物矿区四层;
Map_Treepath;120;12;Treepath;林间小径;
Map_RedValley_1F;121;D10011;RedValley_1F;赤月峡谷一层;
Map_RedValley_1F;122;D10012;RedValley_1F;赤月峡谷一层;
Map_RedValley_1F;123;D10013;RedValley_1F;赤月峡谷一层;
Map_RedValley_2F;124;D1002;RedValley_2F;赤月峡谷二层;
Map_RedValley_3F;125;D10031;RedValley_3F;赤月峡谷三层;
Map_RedValley_3F;126;D10032;RedValley_3F;赤月峡谷三层;
Map_RedValley_4F;127;D1004;RedValley_4F;赤月峡谷四层;
Map_RedValley_5F;128;D10051;RedValley_5F;赤月峡谷五层;
Map_RedValley_5F;129;D10052;RedValley_5F;赤月峡谷五层;
Map_Great_TaoTomb;130;D10061;Great_TaoTomb;大圣陵墓;
Map_RedMoonRoom;131;D10062;RedMoonRoom;赤月密室;
Map_RedValley_5F;132;D10053;RedValley_5F;赤月峡谷五层;
Map_RedValley_5F;133;D10054;RedValley_5F;赤月峡谷五层;
Map_Lunar_1F;135;Hell301s;Lunar_1F;月光地宫一层;
Map_Lunar_2F;136;Hell302s;Lunar_2F;月光地宫二层;
Map_Lunar_3F;137;Hell303s;Lunar_3F;月光地宫三层;
Map_Lunar_4F;138;Hell304s;Lunar_4F;月光地宫四层;
Map_LunarRoom;139;Hell_Bosss;LunarRoom;月光密室;
Map_DarkForest;140;hyunwol1;DarkForest;黑暗森林;
Map_DarkForest;141;hyunwol2;DarkForest;黑暗森林;
Map_DarkForest;142;hyunwol3;DarkForest;黑暗森林;
Map_TownHall;143;hyunwolboss;TownHall;镇公所;
Map_SerpentValley;144;2;SerpentValley;蛇谷;
Map_S_ValleyTavern;145;0116;S_ValleyTavern;蛇谷酒馆;
Map_ReagentStore;146;0117;ReagentStore;药材店;
Map_Blacksmith;147;0120;Blacksmith;铁匠铺;
Map_PrivateHouse;148;0142;PrivateHouse;私宅;
Map_S_ValleyDeadMine;149;D421;S_ValleyDeadMine;蛇谷死矿;
Map_S_ValleyDeadMine;150;D422;S_ValleyDeadMine;蛇谷死矿;
Map_S_ValleyDeadMine;151;D4221;S_ValleyDeadMine;蛇谷死矿;
Map_ViperMaze;152;LABY01;ViperMaze;蛇妖迷宫;
Map_ViperMaze;153;LABY02;ViperMaze;蛇妖迷宫;
Map_ViperMaze;154;LABY03;ViperMaze;蛇妖迷宫;
Map_ViperMaze;155;LABY04;ViperMaze;蛇妖迷宫;
Map_ViperMaze;156;LABYBUY01;ViperMaze;蛇妖迷宫;
Map_ViperMaze;157;LABYBUY02;ViperMaze;蛇妖迷宫;
Map_ViperPath;158;L001;ViperPath;蛇妖小径;
Map_ViperPath;159;L002;ViperPath;蛇妖小径;
Map_ViperPath;160;L003;ViperPath;蛇妖小径;
Map_ViperPath;161;L004;ViperPath;蛇妖小径;
Map_ViperMaze;162;LABYROOM;ViperMaze;蛇妖迷宫;
Map_ViperCave;163;SnakePre2;ViperCave;蛇妖洞穴;
Map_ViperCave;164;SnakePre;ViperCave;蛇妖洞穴;
Map_YimoogiNest;165;SNAKE;YimoogiNest;妖蛇巢穴;
Map_ConnectionPath;166;E601;ConnectionPath;连接通道;
Map_ConnectionPath;167;E602;ConnectionPath;连接通道;
Map_ConnectionPath;168;E603;ConnectionPath;连接通道;
Map_ConnectionPath;169;E604;ConnectionPath;连接通道;
Map_ConnectionPath;170;E605;ConnectionPath;连接通道;
Map_MysteryCave;171;M001;MysteryCave;神秘洞穴;
Map_MongchonProvince;172;3;MongchonProvince;盟重省;
Map_PrivateHouse;173;0143;PrivateHouse;私宅;
Map_PrivateHouse;174;0144;PrivateHouse;私宅;
Map_Inn;175;0145;Inn;旅馆;
Map_2FofInn;176;0146;2FofInn;旅馆二楼;
Map_Tavern;177;0148;Tavern;酒馆;
Map_DraperyStore;178;0149;DraperyStore;布店;
Map_GroceryStore;179;0158;GroceryStore;杂货店;
Map_Blacksmith;180;0159;Blacksmith;铁匠铺;
Map_Mill;181;0160;Mill;磨坊;
Map_S_1FofDungeon;182;D601;S_1FofDungeon;南迷宫一层;
Map_W_1FofDungeon;183;D602;W_1FofDungeon;西迷宫一层;
Map_N_1FofDungeon;184;D603;N_1FofDungeon;北迷宫一层;
Map_W_2FofDungeon;185;D604;W_2FofDungeon;西迷宫二层;
Map_N_2FofDungeon;186;D605;N_2FofDungeon;北迷宫二层;
Map_LifeDeathCoffin;187;D606;LifeDeathCoffin;生死棺室;
Map_StoneLanternRoom;188;D607;StoneLanternRoom;石灯室;
Map_AmethystRoom;189;D608;AmethystRoom;紫晶房;
Map_StoneCarvedStream;190;D609;StoneCarvedStream;石刻溪流;
Map_StrangeRocksRoom;191;D610;StrangeRocksRoom;奇石房间;
Map_StrangeRocksPath;192;D611;StrangeRocksPath;奇石小径;
Map_LostCave(MainCave);193;D612;LostCave(MainCave);迷失洞穴主洞;
Map_LostMiddleCave;194;D613;LostMiddleCave;迷失中洞;
Map_SouthernLostCave;195;D614;SouthernLostCave;迷失南洞;
Map_WesternLostCave;196;D615;WesternLostCave;迷失西洞;
Map_NorthernLostCave;197;D616;NorthernLostCave;迷失北洞;
Map_EasternLostCave;198;D617;EasternLostCave;迷失东洞;
Map_FatallyPoisonousCave;199;D618;FatallyPoisonousCave;致命毒洞;
Map_B1_AngledStoneTomb;200;D711;B1_AngledStoneTomb;斜石古墓地下一层;
Map_B2_AngledStoneTomb;201;D712;B2_AngledStoneTomb;斜石古墓地下二层;
Map_B3_AngledStoneTomb;202;D713;B3_AngledStoneTomb;斜石古墓地下三层;
Map_B4_AngledStoneTomb;203;D714;B4_AngledStoneTomb;斜石古墓地下四层;
Map_B5_AngledStoneTomb;204;D715;B5_AngledStoneTomb;斜石古墓地下五层;
Map_B6_AngledStoneTomb;205;D716;B6_AngledStoneTomb;斜石古墓地下六层;
Map_B7_AngledStoneTomb;206;D717;B7_AngledStoneTomb;斜石古墓地下七层;
Map_TacticalMaze;207;D71601;TacticalMaze;战术迷宫;
Map_TacticalMaze;208;D71602;TacticalMaze;战术迷宫;
Map_TacticalMaze;209;D71603;TacticalMaze;战术迷宫;
Map_TacticalMaze;210;D71604;TacticalMaze;战术迷宫;
Map_TacticalMaze;211;D71605;TacticalMaze;战术迷宫;
Map_TacticalMaze;212;D71606;TacticalMaze;战术迷宫;
Map_TacticalMaze;213;D71607;TacticalMaze;战术迷宫;
Map_TacticalMaze;214;D71608;TacticalMaze;战术迷宫;
Map_TacticalMaze;215;D71609;TacticalMaze;战术迷宫;
Map_TacticalMaze;216;D71610;TacticalMaze;战术迷宫;
Map_TacticalMaze;217;D71611;TacticalMaze;战术迷宫;
Map_TacticalMaze;218;D71612;TacticalMaze;战术迷宫;
Map_TacticalMaze;219;D71613;TacticalMaze;战术迷宫;
Map_TacticalMaze;220;D71614;TacticalMaze;战术迷宫;
Map_TacticalMaze;221;D71615;TacticalMaze;战术迷宫;
Map_TacticalMaze;222;D71616;TacticalMaze;战术迷宫;
Map_TacticalMaze;223;D71617;TacticalMaze;战术迷宫;
Map_TacticalMaze;224;D71618;TacticalMaze;战术迷宫;
Map_TacticalMaze;225;D71619;TacticalMaze;战术迷宫;
Map_TacticalMaze;226;D71620;TacticalMaze;战术迷宫;
Map_TacticalMaze;227;D71621;TacticalMaze;战术迷宫;
Map_TacticalMaze;228;D71622;TacticalMaze;战术迷宫;
Map_TacticalMaze;229;D71623;TacticalMaze;战术迷宫;
Map_TacticalMaze;230;D71624;TacticalMaze;战术迷宫;
Map_TacticalMaze;231;D71625;TacticalMaze;战术迷宫;
Map_TacticalMaze;232;D71650;TacticalMaze;战术迷宫;
Map_TacticalMaze;233;D71651;TacticalMaze;战术迷宫;
Map_TacticalMaze;234;D71652;TacticalMaze;战术迷宫;
Map_TacticalMaze;235;D71653;TacticalMaze;战术迷宫;
Map_AngledStoneTombEntrance;236;D710;AngledStoneTombEntrance;斜石古墓入口;
Map_AncientSTombEntrance;237;D710A;AncientSTombEntrance;远古石墓入口;
Map_AncientSTomb_1F;238;D711A;AncientSTomb_1F;远古石墓一层;
Map_AncientSTomb_2F;239;D712A;AncientSTomb_2F;远古石墓二层;
Map_AncientSTomb_3F;240;D713A;AncientSTomb_3F;远古石墓三层;
Map_ConnectionCave;241;E701;ConnectionCave;连接洞穴;
Map_ConnectionCave;242;E702;ConnectionCave;连接洞穴;
Map_ConnectionCave;243;E703;ConnectionCave;连接洞穴;
Map_SabukSecretGate;244;D701;SabukSecretGate;沙巴克密道;
Map_InnerWall;245;0150;InnerWall;内城墙;
Map_Blacksmith;246;0151;Blacksmith;铁匠铺;
Map_Warehouse;247;0152;Warehouse;仓库;
Map_ReagentStore;248;0153;ReagentStore;药材店;
Map_ReagentStore;249;0154;ReagentStore;药材店;
Map_ReagentStore;250;0155;ReagentStore;药材店;
Map_Prison;251;0156;Prison;监狱;
Map_Prison;252;0162;Prison;监狱;
Map_LobbyofZumaTemple;253;0157;LobbyofZumaTemple;祖玛寺庙大厅;
Map_ZumaTemple_1F;254;D501;ZumaTemple_1F;祖玛寺庙一层;
Map_ZumaTemple_2F;255;D502;ZumaTemple_2F;祖玛寺庙二层;
Map_ZumaTemple_3F;256;D503;ZumaTemple_3F;祖玛寺庙三层;
Map_ZumaTemple_4F;257;D504;ZumaTemple_4F;祖玛寺庙四层;
Map_ZumaTemple_5F;258;D505;ZumaTemple_5F;祖玛寺庙五层;
Map_ZumaMaze;259;D5061;ZumaMaze;祖玛迷宫;
Map_ZumaMaze;260;D5062;ZumaMaze;祖玛迷宫;
Map_ZumaMaze;261;D5063;ZumaMaze;祖玛迷宫;
Map_ZumaMaze;262;D5064;ZumaMaze;祖玛迷宫;
Map_ZumaMaze;263;D5065;ZumaMaze;祖玛迷宫;
Map_ZumaMaze;264;D5066;ZumaMaze;祖玛迷宫;
Map_ZumaMaze;265;D5067;ZumaMaze;祖玛迷宫;
Map_ZumaMaze;266;D5068;ZumaMaze;祖玛迷宫;
Map_ZumaMaze;267;D5069;ZumaMaze;祖玛迷宫;
Map_ZumaTempleLobby_7F;268;D5071;ZumaTempleLobby_7F;祖玛寺庙七层大厅;
Map_ZumaTemple_7F;269;D5072;ZumaTemple_7F;祖玛寺庙七层;
Map_ZumaTemple_7F;270;D5073;ZumaTemple_7F;祖玛寺庙七层;
Map_ZumaTemple_7F;271;D5074;ZumaTemple_7F;祖玛寺庙七层;
Map_ZumaTemple;272;D511;ZumaTemple;祖玛寺庙;
Map_ZumaTemple;273;D512;ZumaTemple;祖玛寺庙;
Map_ZumaTemple;274;D513;ZumaTemple;祖玛寺庙;
Map_ZumaTemple;275;D514;ZumaTemple;祖玛寺庙;
Map_ZumaTemple;276;D515;ZumaTemple;祖玛寺庙;
Map_AncientZumaLobby;277;0157A;AncientZumaLobby;远古祖玛大厅;
Map_AncientZuma_1F;278;D501A;AncientZuma_1F;远古祖玛寺庙一层;
Map_AncientZuma_2F;279;D502A;AncientZuma_2F;远古祖玛寺庙二层;
Map_AncientZuma_3F;280;D503A;AncientZuma_3F;远古祖玛寺庙三层;
Map_SealedMaze;281;Fox01;SealedMaze;封印迷宫;
Map_SacredFoxHill;282;Fox02;SacredFoxHill;狐仙山;
Map_SacredFoxTemple;283;Fox03;SacredFoxTemple;狐仙神殿;
Map_SwampCavern_1F;284;EBEE01;SwampCavern_1F;沼泽洞穴一层;
Map_SwampCavern_2F;285;EBEE02;SwampCavern_2F;沼泽洞穴二层;
Map_Swamp;286;EBEE03;Swamp;沼泽;
Map_DarkSwamp;287;EBEEBOSS;DarkSwamp;黑暗沼泽;
Map_ForgottenCity;288;MORAE;ForgottenCity;遗忘之城;
Map_PrajnaIsland;289;5;PrajnaIsland;苍月岛;
Map_WeaponStore;290;B351;WeaponStore;武器店;
Map_AccessoryStore;291;B352;AccessoryStore;饰品店;
Map_DraperyStore;292;B353;DraperyStore;布店;
Map_VillageChiefHouse;293;B354;VillageChiefHouse;村长家;
Map_FisherManHouse;294;B355;FisherManHouse;渔夫小屋;
Map_Shrine;295;B356;Shrine;神殿;
Map_PrajnaStoneCave_1F;296;D2061;PrajnaStoneCave_1F;骨魔洞一层;
Map_PrajnaStoneCave_2F;297;D2062;PrajnaStoneCave_2F;骨魔洞二层;
Map_PrajnaStoneCave(E)_3F;298;D2063;PrajnaStoneCave(E)_3F;骨魔洞东三层;
Map_PrajnaStoneCave(W)_3F;299;D2064;PrajnaStoneCave(W)_3F;骨魔洞西三层;
Map_PrajnaStoneCave_4F;300;D2065;PrajnaStoneCave_4F;骨魔洞四层;
Map_PrajnaStoneCave_5F;301;D2066;PrajnaStoneCave_5F;骨魔洞五层;
Map_PrajnaStoneCave_6F;302;D2067;PrajnaStoneCave_6F;骨魔洞六层;
Map_PrajnaTempleLobby;303;D2070;PrajnaTempleLobby;牛魔寺庙大厅;
Map_PrajnaTemple_1F;304;D2071;PrajnaTemple_1F;牛魔寺庙一层;
Map_PrajnaTemple_2F;305;D2072;PrajnaTemple_2F;牛魔寺庙二层;
Map_PrajnaTemple_3F;306;D2073;PrajnaTemple_3F;牛魔寺庙三层;
Map_PrajnaTemple_4F;307;D2074;PrajnaTemple_4F;牛魔寺庙四层;
Map_PrajnaTemple(E)_5F;308;D2075;PrajnaTemple(E)_5F;牛魔寺庙东五层;
Map_PrajnaTemple(W)_5F;309;D2076;PrajnaTemple(W)_5F;牛魔寺庙西五层;
Map_PrajnaTemple_6F;310;D2077;PrajnaTemple_6F;牛魔寺庙六层;
Map_PrajnaTemple_7F;311;D2078;PrajnaTemple_7F;牛魔寺庙七层;
Map_PrajnaTemple;312;D2079;PrajnaTemple;牛魔寺庙;
Map_AncientPrajna_1F;313;D2051A;AncientPrajna_1F;尸魔洞一层;
Map_AncientPrajna_2F;314;D2054A;AncientPrajna_2F;尸魔洞二层;
Map_AncientPrajna_3F;315;D2055A;AncientPrajna_3F;尸魔洞三层;
Map_PastBichon;316;6;PastBichon;过去的比奇;
Map_GeneralsCamp;317;B357;GeneralsCamp;将军营地;
Map_WestOmaGorge;318;61;WestOmaGorge;西奥玛峡谷;
Map_WestOmaPass;319;611;WestOmaPass;西奥玛通道;
Map_OmaGorge;320;612;OmaGorge;奥玛峡谷;
Map_EastOmaPass;321;613;EastOmaPass;东奥玛通道;
Map_WestOmaValley;322;62;WestOmaValley;西奥玛山谷;
Map_OmaValley;323;621;OmaValley;奥玛山谷;
Map_EastOmaValley;324;622;EastOmaValley;东奥玛山谷;
Map_EastOmaGorge;325;63;EastOmaGorge;东奥玛峡谷;
Map_WestPass;326;631;WestPass;西关口;
Map_EastPass;327;632;EastPass;东关口;
Map_BloodGorge;328;64;BloodGorge;血色峡谷;
Map_BloodPass;329;65;BloodPass;血色通道;
Map_BloodLand;330;66;BloodLand;血色平原;
Map_LightningCave;331;D2081;LightningCave;雷电洞穴;
Map_MoltenRockCave;332;D2082;MoltenRockCave;熔岩洞穴;
Map_EvilMirPalace;333;D2083;EvilMirPalace;邪恶米尔宫殿;
Map_WasteLands;334;HELL00;WasteLands;荒芜之地;
Map_HellCavern_1F;335;HELL01;HellCavern_1F;地狱洞窟一层;
Map_HellCavern_2F;336;HELL02;HellCavern_2F;地狱洞窟二层;
Map_HellOverpass;337;HELL03;HellOverpass;地狱天桥;
Map_IceHellCavern;338;HELL201;IceHellCavern;冰狱洞窟;
Map_IceHellTemple(S);339;HELL202;IceHellTemple(S);冰狱神殿(南);
Map_DangerousCavern;340;HELL205;DangerousCavern;危险洞穴;
Map_IceHellTemple(N);341;HELL203;IceHellTemple(N);冰狱神殿(北);
Map_IceHellPass;342;HELL204;IceHellPass;冰狱通道;
Map_IceHellTemple_KR;343;HELL206;IceHellTemple_KR;冰狱神殿;
Map_HellFire_1F;344;HF1;HellFire_1F;地狱火焰一层;
Map_HellFire_2F;345;HF2;HellFire_2F;地狱火焰二层;
Map_HellFire_3F;346;HF3;HellFire_3F;地狱火焰三层;
Map_HellFire_KingsRoom;348;HKR;HellFire_KingsRoom;地狱火焰王座;
Map_RedCavern_1F;349;R01;RedCavern_1F;赤血洞一层;
Map_RedCavern_2F;350;R02;RedCavern_2F;赤血洞二层;
Map_RedCavern_3F;351;R03;RedCavern_3F;赤血洞三层;
Map_RedCavern_4F;352;R04;RedCavern_4F;赤血洞四层;
Map_RedCavern_5F;353;R05;RedCavern_5F;赤血洞五层;
Map_RedCavern_6F;354;R06;RedCavern_6F;赤血洞六层;
Map_RedCavern_7F;355;R07;RedCavern_7F;赤血洞七层;
Map_RedCavern_8F;356;R08;RedCavern_8F;赤血洞八层;
Map_RedCavern_9F;357;R09;RedCavern_9F;赤血洞九层;
Map_RedCavern_10F;358;R10;RedCavern_10F;赤血洞十层;
Map_RedCavern_11F;359;R11;RedCavern_11F;赤血洞十一层;
Map_RedCavern_12F;360;R12;RedCavern_12F;赤血洞十二层;
Map_RedCavern_KR;361;RCK;RedCavern_KR;赤血洞;
Map_DeadForest;362;NAMMAN;DeadForest;死亡森林;
Map_CastleRuins;363;NAMMAN2;CastleRuins;城堡废墟;
Map_Ruins;364;NAMMAND_1;Ruins;废墟;
Map_HauntedForest;365;NAMMAND_2;HauntedForest;鬼魅森林;
Map_WhiteValley;366;WhiteVillage;WhiteValley;白雪谷;
Map_GeneralStore;367;whitevil_etc;GeneralStore;杂货店;
Map_TrainingHall;368;whitevil_fish;TrainingHall;训练馆;
Map_AccessoryStore;369;whitevil_etc1;AccessoryStore;饰品店;
Map_DraperyStore;370;whitevil_acc;DraperyStore;布店;
Map_PrivateHouse;371;whitevil_empty;PrivateHouse;私宅;
Map_PrivateHouse;372;whitevil_empty1;PrivateHouse;私宅;
Map_BookStore;373;whitevil_book;BookStore;书店;
Map_WeaponStore;374;whitevil_weapon;WeaponStore;武器店;
Map_PotionStore;375;whitevil_etc2;PotionStore;药水店;
Map_Warehouse;376;whitevil_armor;Warehouse;仓库;
Map_SnowCavern_1F;377;SnowCave_1F;SnowCavern_1F;雪域洞穴一层;
Map_SnowCavern_2F;378;SnowCave_2F;SnowCavern_2F;雪域洞穴二层;
Map_TheSnowLair;379;SnowCave_BOSS;TheSnowLair;雪域巢穴;
Map_WaitingRoom;380;EM000;WaitingRoom;等候室;
Map_InfiniteBout;381;EM001;InfiniteBout;无限挑战;
Map_InfiniteBout;382;EM002;InfiniteBout;无限挑战;
Map_InfiniteBout;383;EM003;InfiniteBout;无限挑战;
Map_GameMaster;384;r001;GameMaster;GM房间;
Map_PenalCavern;385;D1801;PenalCavern;处罚洞穴;
Map_CraftingVillage;386;11yearvilliage;CraftingVillage;工匠村;
Map_ArchersHideout;387;01041;ArchersHideout;弓手藏身处;
Map_GTCourt;396;GA0;GTCourt;GT竞技场;
Map_GTCourt;397;GA1;GTCourt;GT竞技场;
Map_GTCourt;398;GA2;GTCourt;GT竞技场;
Map_GTCourt;399;GA3;GTCourt;GT竞技场;
Map_GTCourt;400;GA4;GTCourt;GT竞技场;
Map_GTCourt;401;GA5;GTCourt;GT竞技场;
Map_GTCourt;402;GA6;GTCourt;GT竞技场;
Map_GTCourt;403;GA7;GTCourt;GT竞技场;
Map_GTCourt;404;GA8;GTCourt;GT竞技场;
Map_GTCourt;405;GA9;GTCourt;GT竞技场;

Map_GT1F;406;GA10;GT1F;GT一层;
Map_GT1F;407;GA11;GT1F;GT一层;
Map_GT1F;408;GA12;GT1F;GT一层;
Map_GT1F;409;GA13;GT1F;GT一层;
Map_GT1F;410;GA14;GT1F;GT一层;
Map_GT1F;411;GA15;GT1F;GT一层;
Map_GT1F;412;GA16;GT1F;GT一层;
Map_GT1F;413;GA17;GT1F;GT一层;
Map_GT1F;414;GA18;GT1F;GT一层;
Map_GT1F;415;GA19;GT1F;GT一层;

Map_GT2F;416;GA20;GT2F;GT二层;
Map_GT2F;417;GA21;GT2F;GT二层;
Map_GT2F;418;GA22;GT2F;GT二层;
Map_GT2F;419;GA23;GT2F;GT二层;
Map_GT2F;420;GA24;GT2F;GT二层;
Map_GT2F;421;GA25;GT2F;GT二层;
Map_GT2F;422;GA26;GT2F;GT二层;
Map_GT2F;423;GA27;GT2F;GT二层;
Map_GT2F;424;GA28;GT2F;GT二层;
Map_GT2F;425;GA29;GT2F;GT二层;

