ID;EnglishName;ChineseName;Spell;Notes
Magic_IceThrust;IceThrust;冰刺术;IceThrust;
Magic_ImmortalSkin;ImmortalSkin;金刚不坏;ImmortalSkin;
Magic_LightBody;LightBody;轻身术;LightBody;
Magic_Lightning;Lightning;疾光电影;Lightning;
Magic_LionRoar;LionRoar;狮吼功;LionRoar;
Magic_MagicBooster;MagicBooster;魔力增幅;MagicBooster;
Magic_MagicShield;MagicShield;魔法盾;MagicShield;
Magic_MassHealing;MassHealing;群体治疗术;MassHealing;
Magic_MassHiding;MassHiding;集体隐身术;MassHiding;
Magic_Meditation;Meditation;冥想;Meditation;
Magic_MentalState;MentalState;心灵专注;MentalState;
Magic_MeteorShower;MeteorShower;流星雨;MeteorShower;
Magic_MeteorStrike;MeteorStrike;流星坠落;MeteorStrike;
Magic_Mirroring;Mirroring;镜像术;Mirroring;
Magic_MoonLight;MoonLight;月光斩;MoonLight;
Magic_MoonMist;MoonMist;月影迷雾;MoonMist;
Magic_MPEater;MPEater;法力汲取;MPEater;
Magic_NapalmShot;NapalmShot;燃烧弹;NapalmShot;
Magic_OneWithNature;OneWithNature;天人合一;OneWithNature;
Magic_PetEnhancer;PetEnhancer;宠物强化;PetEnhancer;
Magic_Plague;Plague;瘟疫术;Plague;
Magic_PoisonCloud;PoisonCloud;毒雾术;PoisonCloud;
Magic_Poisoning;Poisoning;施毒术;Poisoning;
Magic_PoisonShot;PoisonShot;剧毒箭;PoisonShot;
Magic_PoisonSword;PoisonSword;毒剑术;PoisonSword;
Magic_Portal;Portal;空间之门;Portal;
Magic_ProtectionField;ProtectionField;护体结界;ProtectionField;
Magic_Purification;Purification;净化术;Purification;
Magic_Rage;Rage;狂怒;Rage;
Magic_Reincarnation;Reincarnation;复活术;Reincarnation;
Magic_Repulsion;Repulsion;抗拒火环;Repulsion;
Magic_Revelation;Revelation;心灵启示;Revelation;
Magic_ShoulderDash;ShoulderDash;野蛮冲撞;ShoulderDash;
Magic_SlashingBurst;SlashingBurst;破空斩;SlashingBurst;
Magic_Slaying;Slaying;攻杀剑术;Slaying;
Magic_SoulFireBall;SoulFireBall;灵魂火符;SoulFireBall;
Magic_SoulShield;SoulShield;幽灵盾;SoulShield;
Magic_SpiritSword;SpiritSword;精神力战法;SpiritSword;
Magic_StoneTrap;StoneTrap;石化陷阱;Stonetrap;
Magic_StormEscape;StormEscape;风暴逃脱;StormEscape;
Magic_StraightShot;StraightShot;直射;StraightShot;
Magic_SummonHolyDeva;SummonHolyDeva;召唤圣灵;SummonHolyDeva;
Magic_SummonShinsu;SummonShinsu;召唤神兽;SummonShinsu;
Magic_SummonSkeleton;SummonSkeleton;召唤骷髅;SummonSkeleton;
Magic_SummonSnakes;SummonSnakes;召唤毒蛇;SummonSnakes;
Magic_SummonToad;SummonToad;召唤毒蛤;SummonToad;
Magic_SummonVampire;SummonVampire;召唤吸血鬼;SummonVampire;
Magic_SwiftFeet;SwiftFeet;疾风步;SwiftFeet;
Magic_Teleport;Teleport;瞬息移动;Teleport;
Magic_Thrusting;Thrusting;刺杀剑术;Thrusting;
Magic_ThunderBolt;ThunderBolt;雷霆术;ThunderBolt;
Magic_ThunderStorm;ThunderStorm;地狱雷光;ThunderStorm;
Magic_Trap;Trap;陷阱术;Trap;
Magic_TrapHexagon;TrapHexagon;困魔咒;TrapHexagon;
Magic_TurnUndead;TurnUndead;圣言术;TurnUndead;
Magic_TwinDrakeBlade;TwinDrakeBlade;双龙斩;TwinDrakeBlade;
Magic_UltimateEnchancer;UltimateEnchancer;极限强化;UltimateEnhancer;
Magic_VampireShot;VampireShot;吸血箭;VampireShot;
Magic_Vampirism;Vampirism;吸血术;Vampirism;
