ID;Index;EnglishName;ChineseName;ItemType;Notes
Item_RaidersArmourF5;163;RaidersArmour(F)5;掠夺者铠甲（女）5;Armour;
Item_BaseDressM;317;BaseDress(M);新手服（男）;Armour;
Item_BaseDressF;318;BaseDress(F);新手服（女）;Armour;
Item_LightArmourM;319;LightArmour(M);轻甲（男）;Armour;
Item_LightArmourF;320;LightArmour(F);轻甲（女）;Armour;
Item_MediumArmourM;321;MediumArmour(M);中甲（男）;Armour;
Item_MediumArmourF;322;MediumArmour(F);中甲（女）;Armour;
Item_HeavyArmourM;323;HeavyArmour(M);重甲（男）;Armour;
Item_HeavyArmourF;324;HeavyArmour(F);重甲（女）;Armour;
Item_MagicRobeM;325;MagicRobe(M);魔法长袍（男）;Armour;
Item_MagicRobeF;326;MagicRobe(F);魔法长袍（女）;Armour;
Item_SoulArmourM;327;SoulArmour(M);灵魂铠甲（男）;Armour;
Item_SoulArmourF;328;SoulArmour(F);灵魂铠甲（女）;Armour;
Item_RelicArmourM;329;RelicArmour(M);遗物铠甲（男）;Armour;
Item_RelicArmourF;330;RelicArmour(F);遗物铠甲（女）;Armour;
Item_LightLeatherArmourM;331;LightLeatherArmour(M);轻皮甲（男）;Armour;
Item_LightLeatherArmourF;332;LightLeatherArmour(F);轻皮甲（女）;Armour;
Item_IronArmourM;333;IronArmour(M);铁甲（男）;Armour;
Item_IronArmourF;334;IronArmour(F);铁甲（女）;Armour;
Item_WizardRobeM;335;WizardRobe(M);巫师长袍（男）;Armour;
Item_WitchRobeF;336;WitchRobe(F);女巫长袍（女）;Armour;
Item_PearlArmourM;337;PearlArmour(M);珍珠铠甲（男）;Armour;
Item_PearlArmourF;338;PearlArmour(F);珍珠铠甲（女）;Armour;
Item_AncientArmourM;339;AncientArmour(M);远古铠甲（男）;Armour;
Item_AncientArmourF;340;AncientArmour(F);远古铠甲（女）;Armour;
Item_TemperedArmourM;341;TemperedArmour(M);淬火铠甲（男）;Armour;
Item_TemperedArmourF;342;TemperedArmour(F);淬火铠甲（女）;Armour;
Item_SteelArmourM;343;SteelArmour(M);钢铁铠甲（男）;Armour;
Item_SteelArmourF;344;SteelArmour(F);钢铁铠甲（女）;Armour;
Item_DragonRobeM;345;DragonRobe(M);龙纹长袍（男）;Armour;
Item_DragonRobeF;346;DragonRobe(F);龙纹长袍（女）;Armour;
Item_TitanArmourM;347;TitanArmour(M);泰坦铠甲（男）;Armour;
Item_TitanArmourF;348;TitanArmour(F);泰坦铠甲（女）;Armour;
Item_RoyalArmourM;349;RoyalArmour(M);皇家铠甲（男）;Armour;
Item_RoyalArmourF;350;RoyalArmour(F);皇家铠甲（女）;Armour;
Item_StuddedArmourM;351;StuddedArmour(M);铆钉铠甲（男）;Armour;
Item_StuddedArmourF;352;StuddedArmour(F);铆钉铠甲（女）;Armour;
Item_BlackTigerArmourM;353;BlackTigerArmour(M);黑虎铠甲（男）;Armour;
Item_BlackTigerArmourF;354;BlackTigerArmour(F);黑虎铠甲（女）;Armour;
Item_LotusArmourM;355;LotusArmour(M);莲花铠甲（男）;Armour;
Item_LotusArmourF;356;LotusArmour(F);莲花铠甲（女）;Armour;
Item_CraneArmourM;357;CraneArmour(M);仙鹤铠甲（男）;Armour;
Item_CraneArmourF;358;CraneArmour(F);仙鹤铠甲（女）;Armour;
Item_StealthArmourM;359;StealthArmour(M);潜行铠甲（男）;Armour;
Item_StealthArmourF;360;StealthArmour(F);潜行铠甲（女）;Armour;
Item_LightTemperedArmourM;361;LightTemperedArmour(M);轻淬铠甲（男）;Armour;
Item_LightTemperedArmourF;362;LightTemperedArmour(F);轻淬铠甲（女）;Armour;
Item_BlueDarkArmourM;363;BlueDarkArmour(M);蓝暗铠甲（男）;Armour;
Item_BlueDarkArmourF;364;BlueDarkArmour(F);蓝暗铠甲（女）;Armour;
Item_RedDarkArmourM;365;RedDarkArmour(M);赤暗铠甲（男）;Armour;
Item_RedDarkArmourF;366;RedDarkArmour(F);赤暗铠甲（女）;Armour;
Item_GreenDarkArmourM;367;GreenDarkArmour(M);碧暗铠甲（男）;Armour;
Item_GreenDarkArmourF;368;GreenDarkArmour(F);碧暗铠甲（女）;Armour;
Item_GoldDarkArmourM;369;GoldDarkArmour(M);金暗铠甲（男）;Armour;
Item_GoldDarkArmourF;370;GoldDarkArmour(F);金暗铠甲（女）;Armour;
Item_ScaledArmourM;371;ScaledArmour(M);鳞甲（男）;Armour;
Item_ScaledArmourF;372;ScaledArmour(F);鳞甲（女）;Armour;
Item_CrystalArmourM;373;CrystalArmour(M);水晶铠甲（男）;Armour;
Item_CrystalArmourF;374;CrystalArmour(F);水晶铠甲（女）;Armour;
Item_HeavenArmourM;375;HeavenArmour(M);天堂铠甲（男）;Armour;
Item_HeavenArmourM1;376;HeavenArmour(M)1;天堂铠甲（男）1;Armour;
Item_HeavenArmourM2;377;HeavenArmour(M)2;天堂铠甲（男）2;Armour;
Item_HeavenArmourM3;378;HeavenArmour(M)3;天堂铠甲（男）3;Armour;
Item_HeavenArmourF;379;HeavenArmour(F);天堂铠甲（女）;Armour;
Item_HeavenArmourF1;380;HeavenArmour(F)1;天堂铠甲（女）1;Armour;
Item_HeavenArmourF2;381;HeavenArmour(F)2;天堂铠甲（女）2;Armour;
Item_HeavenArmourF3;382;HeavenArmour(F)3;天堂铠甲（女）3;Armour;
Item_OmaKingRobeM;383;OmaKingRobe(M);奥玛王袍（男）;Armour;
Item_OmaKingRobeM1;384;OmaKingRobe(M)1;奥玛王袍（男）1;Armour;
Item_OmaKingRobeM2;385;OmaKingRobe(M)2;奥玛王袍（男）2;Armour;
Item_OmaKingRobeM3;386;OmaKingRobe(M)3;奥玛王袍（男）3;Armour;
Item_OmaKingRobeM4;387;OmaKingRobe(M)4;奥玛王袍（男）4;Armour;
Item_OmaKingRobeM5;388;OmaKingRobe(M)5;奥玛王袍（男）5;Armour;
Item_OmaKingRobeF;389;OmaKingRobe(F);奥玛王袍（女）;Armour;
Item_OmaKingRobeF1;390;OmaKingRobe(F)1;奥玛王袍（女）1;Armour;
Item_OmaKingRobeF2;391;OmaKingRobe(F)2;奥玛王袍（女）2;Armour;
Item_OmaKingRobeF3;392;OmaKingRobe(F)3;奥玛王袍（女）3;Armour;
Item_OmaKingRobeF4;393;OmaKingRobe(F)4;奥玛王袍（女）4;Armour;
Item_OmaKingRobeF5;394;OmaKingRobe(F)5;奥玛王袍（女）5;Armour;
Item_SolidArmourM;1190;SolidArmour(M);坚固铠甲（男）;Armour;
Item_SolidArmourF;1191;SolidArmour(F);坚固铠甲（女）;Armour;
Item_ThickArmourM;1221;ThickArmour(M);厚重铠甲（男）;Armour;
Item_ThickArmourF;1222;ThickArmour(F);厚重铠甲（女）;Armour;
Item_FireMagicRobeM;1223;FireMagicRobe(M);火焰法袍（男）;Armour;
Item_FireMagicRobeF;1224;FireMagicRobe(F);火焰法袍（女）;Armour;
Item_TaoArmourM;1225;TaoArmour(M);道士战甲（男）;Armour;
Item_TaoArmourF;1226;TaoArmour(F);道士战甲（女）;Armour;
Item_SpiritRobeM;1227;SpiritRobe(M);精神长袍（男）;Armour;
Item_SpiritRobeF;1228;SpiritRobe(F);精神长袍（女）;Armour;
Item_LeatherArmourM;1229;LeatherArmour(M);皮甲（男）;Armour;
Item_LeatherArmourF;1230;LeatherArmour(F);皮甲（女）;Armour;
Item_FineIronArmourM;1246;FineIronArmour(M);精铁铠甲（男）;Armour;
Item_FineIronArmourF;1247;FineIronArmour(F);精铁铠甲（女）;Armour;
Item_FireRobeM;1248;FireRobe(M);火焰长袍（男）;Armour;
Item_FireRobeF;1249;FireRobe(F);火焰长袍（女）;Armour;
Item_YingYangRobeM;1250;YingYangRobe(M);阴阳长袍（男）;Armour;
Item_YingYangRobeF;1251;YingYangRobe(F);阴阳长袍（女）;Armour;
Item_FlamingRedArmourM;1252;FlamingRedArmour(M);烈焰红铠（男）;Armour;
Item_FlamingRedArmourF;1253;FlamingRedArmour(F);烈焰红铠（女）;Armour;
Item_HardTemperedArmourM;1254;HardTemperedArmour(M);强化淬火铠甲（男）;Armour;
Item_HardTemperedArmourF;1255;HardTemperedArmour(F);强化淬火铠甲（女）;Armour;
Item_LeopardTattooSuitM;1384;LeopardTattooSuit(M);豹纹套装（男）;Armour;
Item_LeopardTattooSuitF;1385;LeopardTattooSuit(F);豹纹套装（女）;Armour;
Item_SnowUnderpants;1393;SnowUnderpants;雪地内裤;Armour;
Item_Underpants;1394;Underpants;内裤;Armour;
Item_YellowUnderpants;1395;YellowUnderpants;黄色内裤;Armour;
Item_PinkUnderpants;1396;PinkUnderpants;粉色内裤;Armour;
Item_BlackDragonArmorF5;1425;BlackDragonArmor(F)5;黑龙战甲（女）5;Armour;
Item_BlackDragonArmorF;1426;BlackDragonArmor(F);黑龙战甲（女）;Armour;
Item_BlackDragonArmorF1;1427;BlackDragonArmor(F)1;黑龙战甲（女）1;Armour;
Item_BlackDragonArmorF2;1428;BlackDragonArmor(F)2;黑龙战甲（女）2;Armour;
Item_BlackDragonArmorF3;1429;BlackDragonArmor(F)3;黑龙战甲（女）3;Armour;
Item_BlackDragonArmorF4;1431;BlackDragonArmor(F)4;黑龙战甲（女）4;Armour;
Item_BlackDragonArmorM;1436;BlackDragonArmor(M);黑龙战甲（男）;Armour;
Item_BlackDragonArmorM1;1437;BlackDragonArmor(M)1;黑龙战甲（男）1;Armour;
Item_BlackDragonArmorM2;1438;BlackDragonArmor(M)2;黑龙战甲（男）2;Armour;
Item_BlackDragonArmorM3;1439;BlackDragonArmor(M)3;黑龙战甲（男）3;Armour;
Item_BlackDragonArmorM5;1440;BlackDragonArmor(M)5;黑龙战甲（男）5;Armour;
Item_BlackDragonArmorM4;1441;BlackDragonArmor(M)4;黑龙战甲（男）4;Armour;
Item_Gonryunyongdrama寶F;1575;Gonryunyongdrama(寶)(F);昆仑龙铠·宝（女）;Armour;
Item_Gonryunyongdrama寶F1;1576;Gonryunyongdrama(寶)(F)1;昆仑龙铠·宝（女）1;Armour;
Item_Gonryunyongdrama寶F2;1577;Gonryunyongdrama(寶)(F)2;昆仑龙铠·宝（女）2;Armour;
Item_Gonryunyongdrama寶F3;1578;Gonryunyongdrama(寶)(F)3;昆仑龙铠·宝（女）3;Armour;
Item_Gonryunyongdrama寶F4;1579;Gonryunyongdrama(寶)(F)4;昆仑龙铠·宝（女）4;Armour;
Item_Gonryunyongdrama寶F5;1580;Gonryunyongdrama(寶)(F)5;昆仑龙铠·宝（女）5;Armour;
Item_Gonryunyongdrama寶M;1581;Gonryunyongdrama(寶)(M);昆仑龙铠·宝（男）;Armour;
Item_Gonryunyongdrama寶M1;1582;Gonryunyongdrama(寶)(M)1;昆仑龙铠·宝（男）1;Armour;
Item_Gonryunyongdrama寶M2;1583;Gonryunyongdrama(寶)(M)2;昆仑龙铠·宝（男）2;Armour;
Item_Gonryunyongdrama寶M3;1584;Gonryunyongdrama(寶)(M)3;昆仑龙铠·宝（男）3;Armour;
Item_Gonryunyongdrama寶M4;1585;Gonryunyongdrama(寶)(M)4;昆仑龙铠·宝（男）4;Armour;
Item_Gonryunyongdrama寶M5;1586;Gonryunyongdrama(寶)(M)5;昆仑龙铠·宝（男）5;Armour;
Item_Gonryunyongdrama聖F;1600;Gonryunyongdrama(聖)(F);昆仑龙铠·圣（女）;Armour;
Item_Gonryunyongdrama聖F1;1601;Gonryunyongdrama(聖)(F)1;昆仑龙铠·圣（女）1;Armour;
Item_Gonryunyongdrama聖F2;1602;Gonryunyongdrama(聖)(F)2;昆仑龙铠·圣（女）2;Armour;
Item_Gonryunyongdrama聖F3;1603;Gonryunyongdrama(聖)(F)3;昆仑龙铠·圣（女）3;Armour;
Item_Gonryunyongdrama聖F4;1604;Gonryunyongdrama(聖)(F)4;昆仑龙铠·圣（女）4;Armour;
Item_Gonryunyongdrama聖F5;1605;Gonryunyongdrama(聖)(F)5;昆仑龙铠·圣（女）5;Armour;
Item_Gonryunyongdrama聖M;1606;Gonryunyongdrama(聖)(M);昆仑龙铠·圣（男）;Armour;
Item_Gonryunyongdrama聖M1;1607;Gonryunyongdrama(聖)(M)1;昆仑龙铠·圣（男）1;Armour;
Item_Gonryunyongdrama聖M2;1608;Gonryunyongdrama(聖)(M)2;昆仑龙铠·圣（男）2;Armour;
Item_Gonryunyongdrama聖M3;1609;Gonryunyongdrama(聖)(M)3;昆仑龙铠·圣（男）3;Armour;
Item_Gonryunyongdrama聖M4;1610;Gonryunyongdrama(聖)(M)4;昆仑龙铠·圣（男）4;Armour;
Item_Gonryunyongdrama聖M5;1611;Gonryunyongdrama(聖)(M)5;昆仑龙铠·圣（男）5;Armour;
Item_BraveryGlyph0;913;BraveryGlyph0;勇气雕文0;Awakening;
Item_BraveryGlyph1;914;BraveryGlyph1;勇气雕文1;Awakening;
Item_BraveryGlyph2;915;BraveryGlyph2;勇气雕文2;Awakening;
Item_BraveryGlyph3;916;BraveryGlyph3;勇气雕文3;Awakening;
Item_MagicGlyph0;917;MagicGlyph0;魔力雕文0;Awakening;
Item_MagicGlyph1;918;MagicGlyph1;魔力雕文1;Awakening;
Item_MagicGlyph2;919;MagicGlyph2;魔力雕文2;Awakening;
Item_MagicGlyph3;920;MagicGlyph3;魔力雕文3;Awakening;
Item_SoulGlyph0;921;SoulGlyph0;灵魂雕文0;Awakening;
Item_SoulGlyph1;922;SoulGlyph1;灵魂雕文1;Awakening;
Item_SoulGlyph2;923;SoulGlyph2;灵魂雕文2;Awakening;
Item_SoulGlyph3;924;SoulGlyph3;灵魂雕文3;Awakening;
Item_ProtectionGlyph0;925;ProtectionGlyph0;守护雕文0;Awakening;
Item_ProtectionGlyph1;926;ProtectionGlyph1;守护雕文1;Awakening;
Item_ProtectionGlyph2;927;ProtectionGlyph2;守护雕文2;Awakening;
Item_ProtectionGlyph3;928;ProtectionGlyph3;守护雕文3;Awakening;
Item_EvilSlayerGlyph0;929;EvilSlayerGlyph0;屠魔雕文0;Awakening;
Item_EvilSlayerGlyph1;930;EvilSlayerGlyph1;屠魔雕文1;Awakening;
Item_EvilSlayerGlyph2;931;EvilSlayerGlyph2;屠魔雕文2;Awakening;
Item_EvilSlayerGlyph3;932;EvilSlayerGlyph3;屠魔雕文3;Awakening;
Item_BodyGlyph0;933;BodyGlyph0;体魄雕文0;Awakening;
Item_BodyGlyph1;934;BodyGlyph1;体魄雕文1;Awakening;
Item_BodyGlyph2;935;BodyGlyph2;体魄雕文2;Awakening;
Item_BodyGlyph3;936;BodyGlyph3;体魄雕文3;Awakening;
Item_AwakeningSoul0;937;AwakeningSoul0;觉醒之魂0;Awakening;
Item_AwakeningSoul1;938;AwakeningSoul1;觉醒之魂1;Awakening;
Item_AwakeningSoul2;939;AwakeningSoul2;觉醒之魂2;Awakening;
Item_AwakeningSoul3;940;AwakeningSoul3;觉醒之魂3;Awakening;
Item_FishBait;798;FishBait;鱼饵;Bait;
Item_PremiumBait;799;PremiumBait;高级鱼饵;Bait;
Item_BronzeBell;778;BronzeBell;青铜铃;Bells;
Item_SilverBell;779;SilverBell;白银铃;Bells;
Item_GoldBell;780;GoldBell;黄金铃;Bells;
Item_GreenBell;781;GreenBell;绿色铃;Bells;
Item_MirBelt;81;MirBelt;米尔腰带;Belt;
Item_WhiteGoldBelt;90;WhiteGoldBelt;白金腰带;Belt;
Item_WhiteGoldBeltH;95;WhiteGoldBelt(H);白金腰带（加强）;Belt;
Item_RedJadeBelt;100;RedJadeBelt;赤玉腰带;Belt;
Item_RedJadeBeltH;105;RedJadeBelt(H);赤玉腰带（加强）;Belt;
Item_NephriteBelt;110;NephriteBelt;碧玉腰带;Belt;
Item_NephriteBeltH;115;NephriteBelt(H);碧玉腰带（加强）;Belt;
Item_BeltOfStrength1;125;BeltOfStrength1;力量腰带1;Belt;
Item_BeltOfStrength2;127;BeltOfStrength2;力量腰带2;Belt;
Item_BeltOfStrength3;129;BeltOfStrength3;力量腰带3;Belt;
Item_BeltOfStrength4;131;BeltOfStrength4;力量腰带4;Belt;
Item_BeltOfStrength5;133;BeltOfStrength5;力量腰带5;Belt;
Item_TarragonBelt;138;TarragonBelt;泰拉冈腰带;Belt;
Item_SparklingBelt;201;SparklingBelt;闪耀腰带;Belt;
Item_BeltOfDarkness;204;BeltOfDarkness;黑暗腰带;Belt;
Item_CheongboBeltWAR;207;CheongboBelt(WAR);青宝腰带·战士;Belt;
Item_CheongboBeltWIZ;210;CheongboBelt(WIZ);青宝腰带·法师;Belt;
Item_CheongboBeltTAO;213;CheongboBelt(TAO);青宝腰带·道士;Belt;
Item_CheongboBeltASSA;216;CheongboBelt(ASSA);青宝腰带·刺客;Belt;
Item_CheongboBeltARCH;219;CheongboBelt(ARCH);青宝腰带·弓手;Belt;
Item_LeatherBelt;612;LeatherBelt;皮质腰带;Belt;
Item_ChainBelt;613;ChainBelt;锁链腰带;Belt;
Item_BronzeBelt;614;BronzeBelt;青铜腰带;Belt;
Item_SteelBelt;615;SteelBelt;钢铁腰带;Belt;
Item_GoldBelt;616;GoldBelt;黄金腰带;Belt;
Item_AdamantineBelt;617;AdamantineBelt;精金腰带;Belt;
Item_FlamingGrasp;618;FlamingGrasp;烈焰之握腰带;Belt;
Item_StrongLeatherBelt;1186;StrongLeatherBelt;结实皮腰带;Belt;
Item_SteelBuckle;1202;SteelBuckle;钢扣腰带;Belt;
Item_BronzeStrap;1206;BronzeStrap;青铜束带;Belt;
Item_BlackIronBelt;1234;BlackIronBelt;玄铁腰带;Belt;
Item_GonryunEunhyung寶;1454;GonryunEunhyung(寶);昆仑银衡腰带·宝;Belt;
Item_GonryunEunhyung聖;1455;GonryunEunhyung(聖);昆仑银衡腰带·圣;Belt;
Item_GonryunEunhyung神;1456;GonryunEunhyung(神);昆仑银衡腰带·神;Belt;
Item_GonryunEunhyung寶1;1508;GonryunEunhyung(寶)1;昆仑银衡腰带·宝1;Belt;
Item_GonryunEunhyung寶2;1509;GonryunEunhyung(寶)2;昆仑银衡腰带·宝2;Belt;
Item_GonryunEunhyung寶3;1510;GonryunEunhyung(寶)3;昆仑银衡腰带·宝3;Belt;
Item_GonryunEunhyung寶4;1511;GonryunEunhyung(寶)4;昆仑银衡腰带·宝4;Belt;
Item_GonryunEunhyung寶5;1512;GonryunEunhyung(寶)5;昆仑银衡腰带·宝5;Belt;
Item_GonryunEunhyung聖1;1513;GonryunEunhyung(聖)1;昆仑银衡腰带·圣1;Belt;
Item_GonryunEunhyung聖2;1514;GonryunEunhyung(聖)2;昆仑银衡腰带·圣2;Belt;
Item_GonryunEunhyung聖3;1515;GonryunEunhyung(聖)3;昆仑银衡腰带·圣3;Belt;
Item_GonryunEunhyung聖4;1516;GonryunEunhyung(聖)4;昆仑银衡腰带·圣4;Belt;
Item_GonryunEunhyung聖5;1517;GonryunEunhyung(聖)5;昆仑银衡腰带·圣5;Belt;
Item_GonryunEunhyung神1;1518;GonryunEunhyung(神)1;昆仑银衡腰带·神1;Belt;
Item_GonryunEunhyung神2;1519;GonryunEunhyung(神)2;昆仑银衡腰带·神2;Belt;
Item_GonryunEunhyung神3;1520;GonryunEunhyung(神)3;昆仑银衡腰带·神3;Belt;
Item_GonryunEunhyung神4;1521;GonryunEunhyung(神)4;昆仑银衡腰带·神4;Belt;
Item_GonryunEunhyung神5;1522;GonryunEunhyung(神)5;昆仑银衡腰带·神5;Belt;
Item_Fencing;973;Fencing;基本剑术;Book;
Item_Slaying;974;Slaying;攻杀剑术;Book;
Item_Thrusting;975;Thrusting;刺杀剑术;Book;
Item_HalfMoon;976;HalfMoon;半月弯刀;Book;
Item_ShoulderDash;977;ShoulderDash;野蛮冲撞;Book;
Item_TwinDrakeBlade;978;TwinDrakeBlade;双龙斩;Book;
Item_Entrapment;979;Entrapment;缠绕;Book;
Item_FlamingSword;980;FlamingSword;烈火剑法;Book;
Item_LionRoar;981;LionRoar;狮吼功;Book;
Item_CrossHalfMoon;982;CrossHalfMoon;交叉半月;Book;
Item_BladeAvalanche;983;BladeAvalanche;旋风斩;Book;
Item_ProtectionField;984;ProtectionField;护体结界;Book;
Item_Rage;985;Rage;狂怒;Book;
Item_CounterAttack;986;CounterAttack;反击;Book;
Item_SlashingBurst;987;SlashingBurst;破空斩;Book;
Item_Fury;988;Fury;狂暴;Book;
Item_ImmortalSkin;989;ImmortalSkin;金刚不坏;Book;
Item_FireBall;990;FireBall;火球术;Book;
Item_Repulsion;991;Repulsion;抗拒火环;Book;
Item_ElectricShock;992;ElectricShock;雷电术;Book;
Item_GreatFireBall;993;GreatFireBall;大火球;Book;
Item_HellFire;994;HellFire;地狱火;Book;
Item_ThunderBolt;995;ThunderBolt;雷霆术;Book;
Item_Teleport;996;Teleport;瞬息移动;Book;
Item_FireBang;997;FireBang;爆裂火焰;Book;
Item_FireWall;998;FireWall;火墙;Book;
Item_Lightning;999;Lightning;疾光电影;Book;
Item_FrostCrunch;1000;FrostCrunch;冰霜嚎叫;Book;
Item_ThunderStorm;1001;ThunderStorm;地狱雷光;Book;
Item_MagicShield;1002;MagicShield;魔法盾;Book;
Item_TurnUndead;1003;TurnUndead;圣言术;Book;
Item_Vampirism;1004;Vampirism;吸血术;Book;
Item_IceStorm;1005;IceStorm;冰咆哮;Book;
Item_FlameDisruptor;1006;FlameDisruptor;焰火分身;Book;
Item_Mirroring;1007;Mirroring;镜像术;Book;
Item_FlameField;1008;FlameField;火焰领域;Book;
Item_Blizzard;1009;Blizzard;暴风雪;Book;
Item_MagicBooster;1010;MagicBooster;魔力增幅;Book;
Item_MeteorStrike;1011;MeteorStrike;流星坠落;Book;
Item_IceThrust;1012;IceThrust;冰刺术;Book;
Item_Blink;1013;Blink;闪烁;Book;
Item_StormEscape;1014;StormEscape;风暴逃脱;Book;
Item_FastMove;1015;FastMove;疾行;Book;
Item_Healing;1016;Healing;治愈术;Book;
Item_SpiritSword;1017;SpiritSword;精神力战法;Book;
Item_Poisoning;1018;Poisoning;施毒术;Book;
Item_SoulFireBall;1019;SoulFireBall;灵魂火符;Book;
Item_SummonSkeleton;1020;SummonSkeleton;召唤骷髅;Book;
Item_Hiding;1021;Hiding;隐身术;Book;
Item_MassHiding;1022;MassHiding;集体隐身术;Book;
Item_SoulShield;1023;SoulShield;幽灵盾;Book;
Item_Revelation;1024;Revelation;心灵启示;Book;
Item_BlessedArmour;1025;BlessedArmour;神圣战甲术;Book;
Item_EnergyRepulsor;1026;EnergyRepulsor;能量反震;Book;
Item_TrapHexagon;1027;TrapHexagon;困魔咒;Book;
Item_Purification;1028;Purification;净化术;Book;
Item_MassHealing;1029;MassHealing;群体治疗术;Book;
Item_Hallucination;1030;Hallucination;幻觉术;Book;
Item_UltimateEnhancer;1031;UltimateEnhancer;极限强化;Book;
Item_SummonShinsu;1032;SummonShinsu;召唤神兽;Book;
Item_Reincarnation;1033;Reincarnation;复活术;Book;
Item_SummonHolyDeva;1034;SummonHolyDeva;召唤圣灵;Book;
Item_Curse;1035;Curse;诅咒术;Book;
Item_Plague;1036;Plague;瘟疫术;Book;
Item_PoisonCloud;1037;PoisonCloud;毒雾术;Book;
Item_EnergyShield;1038;EnergyShield;能量护盾;Book;
Item_PetEnhancer;1039;PetEnhancer;宠物强化;Book;
Item_HealingCircle;1040;HealingCircle;治愈光环;Book;
Item_FatalSword;1041;FatalSword;致命剑法;Book;
Item_DoubleSlash;1042;DoubleSlash;双重斩;Book;
Item_Haste;1043;Haste;疾速;Book;
Item_FlashDash;1044;FlashDash;闪影冲刺;Book;
Item_LightBody;1045;LightBody;轻身术;Book;
Item_HeavenlySword;1046;HeavenlySword;天剑术;Book;
Item_FireBurst;1047;FireBurst;火焰爆裂;Book;
Item_Trap;1048;Trap;陷阱术;Book;
Item_PoisonSword;1049;PoisonSword;毒剑术;Book;
Item_MoonLight;1050;MoonLight;月光斩;Book;
Item_MPEater;1051;MPEater;法力汲取;Book;
Item_SwiftFeet;1052;SwiftFeet;疾风步;Book;
Item_DarkBody;1053;DarkBody;暗影之躯;Book;
Item_Hemorrhage;1054;Hemorrhage;流血打击;Book;
Item_CresentSlash;1055;CresentSlash;新月斩;Book;
Item_MoonMist;1056;MoonMist;月影迷雾;Book;
Item_Focus;1057;Focus;专注;Book;
Item_StraightShot;1058;StraightShot;直射;Book;
Item_MentalState;1059;MentalState;心灵专注;Book;
