ID;Index;EnglishName;ChineseName;Group;Notes
Quest_RevengeonZombies;65;Revenge on Zombies;僵尸复仇;BichonProvince;
Quest_TheBestHealthyFood;66;The Best Healthy Food;最佳健康食品;WoomyonWoods;
Quest_MedicineResearch;67;Medicine Research;药剂研究;WoomyonWoods;
Quest_FindingaLostItem;68;Finding a Lost Item;寻找失物;WoomyonWoods;
Quest_FindmyFriend;69;Find my Friend;寻找我的朋友;WoomyonWoods;
Quest_PoisonedFriend;70;Poisoned Friend;中毒的朋友;InsectCave;
Quest_LostItem;71;Lost Item;丢失的物品;InsectCave;
Quest_NewsfromaFriend;72;News from a Friend;来自朋友的消息;InsectCave;
Quest_ResearchReport;73;Research Report;研究报告;WoomyonWoods;
Quest_FreetheSoulsfromZombies;74;Free the Souls from Zombies;解放僵尸的灵魂;SerpentValley;
Quest_WipeOut;75;Wipe Out;彻底剿灭;SerpentValley;
Quest_BloodySword;76;Bloody Sword;血腥之剑;SerpentValley;
Quest_CallfromtheDead;77;Call from the Dead;亡者的呼唤;SerpentValley;
Quest_HiddenBox;78;Hidden Box;隐藏的箱子;MongchonProvince;
Quest_DarknessfromtheMines;79;Darkness from the Mines;矿洞之暗;SerpentValley;
Quest_SecretoftheSkull;80;Secret of the Skull;头骨之谜;SerpentDeadMine;
Quest_DarkShadow;81;Dark Shadow;黑暗阴影;SerpentValley;
Quest_WhiteSerpent;82;White Serpent;白蛇;SerpentValley;
Quest_MaterialforClothing;83;Material for Clothing;服装材料;SerpentValley;
Quest_MissingMaterials;84;Missing Materials;丢失的材料;TaoVillage;
Quest_SavetheCursedSouls;85;Save the Cursed Souls;拯救被诅咒的灵魂;TaoVillage;
Quest_UniformOrderStatus;86;Uniform Order Status;制服订单进度;TaoVillage;
Quest_LocatetheCarriage;87;Locate the Carriage;寻找马车;BichonProvince;
Quest_ZombiesAttackonCarriage;88;Zombies Attack on Carriage;僵尸袭击马车;TaoVillage;
Quest_ZombiesHunt;89;Zombies Hunt;僵尸狩猎;TaoVillage;
Quest_GatheringMaterial;90;Gathering Material;收集材料;TaoVillage;
Quest_HelptheLumberer;91;Help the Lumberer;帮助伐木工;TaoVillage;
Quest_DeepintotheWoods;92;Deep into the Woods;深入密林;TaoVillage;
Quest_RunawayStudent;93;Runaway Student;逃跑的学徒;TaoVillage;
Quest_BadNews;94;Bad News;坏消息;TaoVillage;
Quest_LetterstoParents;95;Letters to Parents;写信给父母;TaoVillage;
Quest_CookingBeefRibStew;96;Cooking Beef Rib Stew;烹饪牛肋排炖汤;BichonProvince;
Quest_Danger(WoomyonWoods);97;Danger (WoomyonWoods);危险（雾隐森林）;WoomyonWoods;
Quest_MonsterHuntinWooma;98;Monster Hunt in Wooma;沃玛怪物狩猎;WoomyonWoods;
Quest_BossMobHunt;99;Boss Mob Hunt;首领怪物狩猎;WoomyonWoods;
Quest_DeadlyAttack;100;Deadly Attack;致命袭击;WoomyonWoods;
Quest_BossMobofWoomyon;101;Boss Mob of Woomyon;雾隐森林首领怪;WoomyonWoods;
Quest_TriptoMongchon;102;Trip to Mongchon;前往盟重;BichonProvince;
Quest_AbnormalCreatures;103;Abnormal Creatures;异常生物;MongchonProvince;
Quest_LostSword;104;Lost Sword;丢失的长剑;MongchonProvince;
Quest_LostSoul;105;Lost Soul;迷失的灵魂;DeathValley;
Quest_LostSoul'sRemains;106;Lost Soul's Remains;迷失灵魂的遗骸;DeathValley;
Quest_LastWords;107;Last Words;临终遗言;DeathValley;
Quest_AntiqueBook;108;Antique Book;古旧书籍;MongchonProvince;
Quest_FindMoreAntiqueBooks;109;Find More Antique Books;寻找更多古书;MongchonProvince;
Quest_MeetwithMr.Wang;110;Meet with Mr.Wang;会见王先生;MongchonProvince;
Quest_SecretPath;111;Secret Path;秘密小路;MongchonProvince;
Quest_SafteyofSecretPath;112;Saftey of Secret Path;秘路安全;MongchonProvince;
Quest_Insomnia;113;Insomnia;失眠症;MongchonProvince;
Quest_ThreatstoMongchon;114;Threats to Mongchon;盟重之威胁;MongchonProvince;
Quest_EliminateWhiteBoar;115;Eliminate WhiteBoar;消灭白野猪;MongchonProvince;
Quest_ReporttotheManager;116;Report to the Manager;向管理员报告;MongchonProvince;
Quest_CheckSupplyPath;117;Check Supply Path;检查补给路线;BichonProvince;
Quest_ZombiesinMineralMine;118;Zombies in MineralMine;矿区中的僵尸;TaoVillage;
Quest_MessagetoBichonExaminer;119;Message to BichonExaminer;给比奇考官的信;TaoVillage;
Quest_CorpsFlower;120;CorpsFlower;尸花;BichonProvince;
Quest_SavePrajna;121;Save Prajna;拯救般若岛;PrajnaIsland;
Quest_SkeletonHunt1;122;Skeleton Hunt 1;骷髅狩猎一;PrajnaIsland;
Quest_SkeletonHunt2;123;Skeleton Hunt 2;骷髅狩猎二;PrajnaIsland;
Quest_SkullCollector;124;Skull Collector;头骨收集者;PrajnaIsland;
Quest_VisittheVillageChief;125;Visit the VillageChief;拜访村长;PrajnaIsland;
Quest_TheVillageChief'sRequest;126;The VillageChief's Request;村长的请求;PrajnaIsland;
Quest_StolenBook;127;Stolen Book;被盗的书;TaoVillage;
Quest_ReturningaBook;128;Returning a Book;归还书籍;TaoVillage;
Quest_NewPoison;129;New Poison;新型毒药;TaoVillage;
Quest_Wanted!;130;Wanted!;通缉令！;TaoVillage;
Quest_AncientMobs;131;Ancient Mobs;远古怪物;PrajnaIsland;
Quest_MobsfromPrajna;132;Mobs from Prajna;来自般若岛的怪物;PrajnaIsland;
Quest_GuardsfromPrajna;133;Guards from Prajna;般若岛守卫;PrajnaIsland;
Quest_IngredientfromPrajna;134;Ingredient from Prajna;般若岛材料;PrajnaIsland;
Quest_FindPassagetoRuins;135;Find Passage to Ruins;寻找通往遗迹的通道;MongchonProvince;
Quest_ShippingRelics;136;Shipping Relics;运送遗物;MongchonProvince;
Quest_RareMedicine;137;Rare Medicine;稀有药剂;MongchonProvince;
Quest_ForceRecruit;138;Force Recruit;强制征兵;WasteLands;
Quest_Dangerousasever;139;Dangerous as ever;一如既往的危险;WasteLands;
Quest_ChestnutRequest;140;Chestnut Request;栗子委托;BichonProvince;
Quest_GatheringofBones;141;Gathering of Bones;骨头收集;BichonProvince;
Quest_BoarTooth;142;Boar Tooth;野猪獠牙;MongchonProvince;
Quest_HolySwordQuest;143;Holy Sword Quest;圣剑任务;HolySword Quest;
Quest_HolySwordQuest;144;Holy Sword Quest;圣剑任务;HolySword Quest;
Quest_HolySwordQuest;145;Holy Sword Quest;圣剑任务;HolySword Quest;
Quest_HolySwordQuest;146;Holy Sword Quest;圣剑任务;HolySword Quest;
Quest_HolySwordQuest;147;Holy Sword Quest;圣剑任务;HolySword Quest;
Quest_HolySwordQuest;148;Holy Sword Quest;圣剑任务;HolySword Quest;
Quest_HolySwordQuest;149;Holy Sword Quest;圣剑任务;HolySword Quest;
Quest_HolySwordQuest;150;Holy Sword Quest;圣剑任务;HolySword Quest;
Quest_HolySwordQuest;151;Holy Sword Quest;圣剑任务;HolySword Quest;
Quest_AncientOmaCavern;152;AncientOmaCavern;远古半兽人洞穴;OmaCavern;
Quest_AncientOmaCavern;153;AncientOmaCavern;远古半兽人洞穴;OmaCavern;
Quest_EmperorsProblem;154;Emperors Problem;皇帝的烦恼;BichonProvince;
