Key;Scope;en;zh-CN
MentorRequest;Client;Mentor Request;师徒请求
MentorRequestAccept;Client;Accept Mentor Request;接受师徒请求
MentorRequestDecline;Client;Decline Mentor Request;拒绝师徒请求
RelationshipRequest;Client;Relationship Request;关系请求
RelationshipRequestAccept;Client;Accept Relationship Request;接受关系请求
RelationshipRequestDecline;Client;Decline Relationship Request;拒绝关系请求
GroupInvite;Client;Group Invite;组队邀请
GroupInviteAccept;Client;Accept Group Invite;接受组队邀请
GroupInviteDecline;Client;Decline Group Invite;拒绝组队邀请
GuildInvite;Client;Guild Invite;行会邀请
GuildInviteAccept;Client;Accept Guild Invite;接受行会邀请
GuildInviteDecline;Client;Decline Guild Invite;拒绝行会邀请
SystemMessage;Client;System Message;系统消息
SystemMessageInfo;Client;System Message Info;系统消息信息

SkillMode_Tilde;Client;[Skill Mode: ~];[技能模式: ~]
SkillMode_Ctrl;Client;[Skill Mode: Ctrl];[技能模式: Ctrl]
MainDialog_HP;Client;HP {0}/{1};HP {0}/{1}
MainDialog_MP;Client;MP {0}/{1} ;MP {0}/{1} 

Option_HPMPMode1;Client;[HP/MP Mode 1];[HP/MP 模式 1]
Option_HPMPMode2;Client;[HP/MP Mode 2];[HP/MP 模式 2]
Option_NewMove;Client;[New Movement Style];[新移动方式]
Option_OldMove;Client;[Old Movement Style];[旧移动方式]

Keyboard_Layout;Client;Keyboard ({0});键位设置 ({0})

Chat_Report;Client;Report;举报

Ranking_OnlineOnly;Client;Online Only;只显示在线
Keyboard_EnforceStrict;Client;Assign Rule: Strict;分配规则：严格
Keyboard_EnforceRelaxed;Client;Assign Rule: Relaxed;分配规则：宽松
InputKey_Esc;Client;Esc;Esc
InputKey_Delete;Client;Delete;删除
InputKey_Enter;Client;Enter;回车
InputKey_Random;Client;Random;随机

ItemTypeWeapon;Client;Weapon;武器
ItemTypeArmour;Client;Armour;盔甲
ItemTypeHelmet;Client;Helmet;头盔
ItemTypeNecklace;Client;Necklace;项链
ItemTypeBracelet;Client;Bracelet;手镯
ItemTypeRing;Client;Ring;戒指
ItemTypeAmulet;Client;Amulet;护符
ItemTypeBelt;Client;Belt;腰带
ItemTypeBoots;Client;Boots;靴子
ItemTypeStone;Client;Stone;宝石
ItemTypeTorch;Client;Torch;火把
ItemTypePotion;Client;Potion;药水
ItemTypeOre;Client;Ore;矿石
ItemTypeMeat;Client;Meat;肉类
ItemTypeCraftingMaterial;Client;CraftingMaterial;材料
ItemTypeScroll;Client;Scroll;卷轴
ItemTypeGem;Client;Gem;宝玉
ItemTypeMount;Client;Mount;坐骑
ItemTypeBook;Client;Book;书籍
ItemTypeScript;Client;Script;脚本
ItemTypeReins;Client;Reins;缰绳
ItemTypeBells;Client;Bells;铃铛
ItemTypeSaddle;Client;Saddle;马鞍
ItemTypeRibbon;Client;Ribbon;缎带
ItemTypeMask;Client;Mask;面具
ItemTypeFood;Client;Food;食物
ItemTypeHook;Client;Hook;鱼钩
ItemTypeFloat;Client;Float;浮漂
ItemTypeBait;Client;Bait;鱼饵
ItemTypeFinder;Client;Finder;探鱼器
ItemTypeReel;Client;Reel;鱼线轮
ItemTypeFish;Client;Fish;鱼类
ItemTypeQuest;Client;Quest;任务物品
ItemTypeAwakening;Client;Awakening;觉醒材料
ItemTypePets;Client;Pets;宠物道具
ItemTypeTransform;Client;Transform;变身道具
ItemTypeDeco;Client;Deco;装饰品
ItemTypeMonsterSpawn;Client;SpawnEgg;召唤蛋
ItemTypeSealedHero;Client;SealedHero;封印英雄

ItemGradeCommon;Client;Common;普通
ItemGradeRare;Client;Rare;稀有
ItemGradeLegendary;Client;Legendary;传说
ItemGradeMythical;Client;Mythical;神话
ItemGradeHeroic;Client;Heroic;英雄

ItemDescription;Client;Item Description;物品说明
RequiredLevel;Client;Required Level : {0};需要等级: {0}
RequiredDC;Client;Required DC : {0};需要 攻击: {0}
RequiredMC;Client;Required MC : {0};需要 魔法: {0}
RequiredSC;Client;Required SC : {0};需要 道术: {0}
ClassRequired;Client;Class Required : {0};需要职业: {0}

Holy;Client;Holy: + {0} (+{1});神圣: + {0} (+{1})
Holy2;Client;Holy: + {0};神圣: + {0}
Accuracy;Client;Accuracy: + {0} (+{1});准确: + {0} (+{1})
Accuracy2;Client;Accuracy: + {0};准确: + {0}
Agility;Client;Agility: + {0} (+{1});敏捷: + {0} (+{1})
Agility2;Client;Agility: + {0};敏捷: + {0}

DC;Client;DC + {0}~{1} (+{2});攻击 + {0}~{1} (+{2})
DC2;Client;DC + {0}~{1};攻击 + {0}~{1}
MC;Client;MC + {0}~{1} (+{2});魔法 + {0}~{1} (+{2})
MC2;Client;MC + {0}~{1};魔法 + {0}~{1}
SC;Client;SC + {0}~{1} (+{2});道术 + {0}~{1} (+{2})
SC2;Client;SC + {0}~{1};道术 + {0}~{1}
AC;Client;AC + {0}~{1} (+{2});防御 + {0}~{1} (+{2})
AC2;Client;AC + {0}~{1};防御 + {0}~{1}
MAC;Client;MAC + {0}~{1} (+{2});魔御 + {0}~{1} (+{2})
MAC2;Client;MAC + {0}~{1};魔御 + {0}~{1}

Durability;Client;Durability;耐久度
Weight;Client;W:;重量:
Luck;Client;Luck + {0};幸运 + {0}

Item_AddsDurability;Client;Adds +{0} Durability;增加 +{0} 耐久
Item_AddsAccuracy;Client;Adds +{0} Accuracy;增加 +{0} 命中
Item_AddsASpeed;Client;Adds +{0} A.Speed;增加 +{0} 攻击速度
Item_AddsFreezing;Client;Adds +{0} Freezing;增加 +{0} 冰冻
Item_AddsPoison;Client;Adds +{0} Poison;增加 +{0} 中毒
Item_AddsAgility;Client;Adds +{0} Agility;增加 +{0} 敏捷
Item_AddsPoisonResist;Client;Adds +{0} Poison Resist;增加 +{0} 毒性抗性
Item_AddsMagicResist;Client;Adds +{0} Magic Resist;增加 +{0} 魔法抗性
Item_InstantRun;Client;Instant Run;瞬间奔跑
Item_Socket;Client;Socket : {0};插槽: {0}
Item_SocketEmpty;Client;Empty;空
Item_SocketOpenHint;Client;Ctrl + Right Click To Open Sockets;按住 Ctrl + 鼠标右键 打开插槽
Item_SellingPrice;Client;Selling Price : {0} Gold;出售价格: {0} 金币
Item_CantDropOnDeath;Client;Can't drop on death;死亡时不会掉落
Item_CantDrop;Client;Can't drop;无法丢弃
Item_CantUpgrade;Client;Can't upgrade;无法升级
Item_CantSell;Client;Can't sell;无法出售
Item_CantTrade;Client;Can't trade;无法交易
Item_CantStore;Client;Can't store;无法存仓
Item_CantRepair;Client;Can't repair;无法修理

YouGained;Client;You gained {0}.;你获得了 {0}。
YouGained2;Client;You gained {0:###,###,###} {1};你获得了 {0:###,###,###} {1}
ExperienceGained;Client;Experience Gained {0};获得经验 {0}
HeroInventory;Client;Hero Inventory ({0});英雄背包 ({0})
HeroCharacter;Client;Hero Character ({0});英雄角色 ({0})
HeroSkills;Client;Hero Skills ({0});英雄技能 ({0})
HeroExperienceGained;Client;Hero Experience Gained {0};英雄获得经验 {0}
LevelUp;Both;Congratulations! You have leveled up. Your HP and MP have been restored.;恭喜你升级了，你的生命值和魔法值已恢复。
DeleteCharacter;Client;Are you sure you want to Delete the character {0};你确定要删除角色 {0} 吗？
CharacterDeleted;Client;Your character was deleted successfully.;你的角色已成功删除。
CharacterCreated;Client;Your character was created successfully.;你的角色已创建成功。

Skill_NoSuitableWeapon;Client;You must be wearing a suitable weapon to perform this skill;你必须装备合适的武器才能使用该技能
Skill_CannotCast;Client;You cannot cast {0} for another {1} seconds.;你还需要等待 {1} 秒才能再次施放 {0}。
Skill_UseThrusting;Client;Use Thrusting.;使用 刺杀剑法。
Skill_DoNotUseThrusting;Client;Do not use Thrusting.;不使用 刺杀剑法。
Skill_UseHalfMoon;Client;Use Half Moon.;使用 半月弯刀。
Skill_DoNotUseHalfMoon;Client;Do not use Half Moon.;不使用 半月弯刀。
Skill_UseCrossHalfMoon;Client;Use Cross Half Moon.;使用 交叉半月。
Skill_DoNotUseCrossHalfMoon;Client;Do not use Cross Half Moon.;不使用 交叉半月。
Skill_UseDoubleSlash;Client;Use Double Slash.;使用 裂地斩。
Skill_DoNotUseDoubleSlash;Client;Do not use Double Slash.;不使用 裂地斩。

System_NothingFound;Client;Nothing Found.;未发现任何东西。
System_PleaseEnterInfo;Client;Please enter the required information.;请输入所需的信息。
System_PersonObservingLoggedOff;Client;The person you was observing has logged off.;你正在观察的玩家已下线。
System_UnknownTypeRequired;Client;Unknown Type Required;需要未知类型

LowLevel;Both;You are not a high enough level.;你的等级不足。
LowGold;Both;Not enough gold.;你的金币不足。
LowDC;Both;You do not have enough DC.;你的攻击力不足。
LowMC;Both;You do not have enough MC.;你的魔法力不足。
LowSC;Both;You do not have enough SC.;你的道术力不足。

Group_YouLeft;Client;You have left the group.;你已离开队伍。
Group_PlayerLeft;Client;{0} has left the group.;{0} 已离开队伍。
Group_PlayerJoined;Client;{0} has joined the group.;{0} 已加入队伍。
Group_InviteQuestion;Client;Do you want to group with {0}?;你要与 {0} 组队吗？

GroupSwitch;Client;Allow/Disallow Group Requests;允许/禁止 组队请求
GroupAdd;Client;Add;添加
GroupRemove;Client;Remove;移除
GroupAddEnterName;Client;Please enter the name of the person you wish to add.;请输入你想要邀请组队的玩家名字.
GroupRemoveEnterName;Client;Please enter the name of the person you wish to remove.;请输入你想要移出队伍的玩家名字.
Group_MaxMembers;Client;Your group already has the maximum number of members.;你的队伍人数已达到上限.
Group_NotLeader;Client;You are not the leader of your group.;你不是队长，无法执行此操作.
TooHeavyToHold;Client;It is too heavy to Hold.;物品太重，无法拾取。

Quest_ShareQuestion;Client;{0} would like to share a quest with you. Do you accept?;{0} 想与你共享一个任务，是否接受？

Damage_Miss;Client;Miss;未命中
Damage_Crit;Client;Crit;暴击

SwitchMarriage;Client;Allow/Block Marriage;允许/禁止 结婚请求
RequestMarriage;Client;Request Marriage;请求结婚
RequestDivorce;Client;Request Divorce;请求离婚
MailLover;Client;Mail Lover;给爱人发送邮件
WhisperLover;Client;Whisper Lover;给爱人密语

Relationship_LoverLabel;Client;Lover:  {0};爱人:  {0}
Relationship_Location;Client;Location:  {0};所在位置:  {0}
Relationship_LocationOffline;Client;Location:  Offline;所在位置:  离线
Relationship_Date;Client;Date: ;日期: 
Relationship_Length;Client;Length: ;相伴时长: 
Relationship_DivorcedDate;Client;Divorced Date:  {0};离婚日期:  {0}
Relationship_TimeSinceDays;Client;Time Since: {0} Days;已分开: {0} 天
Relationship_MarriageDate;Client;Marriage Date:  {0};结婚日期:  {0}
Relationship_LengthDays;Client;Length: {0} Days;相伴时长: {0} 天
Relationship_AlreadyMarried;Client;You're already married.;你已经结婚了。
Relationship_NotMarried;Client;You're not married.;你还没有结婚。
Relationship_LoverNotOnline;Client;Lover is not online;你的爱人当前不在线。
Relationship_AllowBlockRecall;Client;Allow/Block Recall;允许/禁止 召回

NoAccountID;Client;The AccountID does not exist.;该账号不存在。
IncorrectPasswordAccountID;Client;Incorrect Password and AccountID combination.;账号或密码错误。
Item_LocationAt;Client;{0} at {1};{0} 位于 {1}
Item_NoLongerLoyal;Client;{0} is no longer loyal to you.;{0} 不再忠于你.
Item_DuraDroppedToZero;Client;{0}'s dura has dropped to 0.;{0} 的耐久度已降为 0.
Error_CouldNotGetDisplayResolutions;Client;Could not get display resolutions;无法获取显示器分辨率
Error_GetDisplayResolutionIssue;Client;Get Display Resolution Issue;获取显示器分辨率时发生错误
Error_InvalidClientResolution;Client;Invalid Client Resolution;无效的客户端分辨率

OnlinePlayers;Server;Online Players: {0};当前在线玩家: {0}
WeaponLuck;Server;Luck dwells within your weapon.;武器中蕴含着幸运之力。
WeaponCurse;Server;Curse dwells within your weapon.;武器中蕴含着诅咒之力。
WeaponNoEffect;Server;No effect.;没有效果。
InventoryIncreased;Server;Inventory size increased.;背包容量已增加。
FaceToTrade;Server;You must face someone to trade.;你必须面对目标玩家才能交易。
NoTownTeleport;Server;You cannot use Town Teleports here;你不能在这里使用回城卷轴。
CanNotRandom;Server;You cannot use Random Teleports here;你不能在这里使用随机传送卷轴。
CanNotDungeon;Server;You cannot use Dungeon Escapes here;你不能在这里使用地牢逃脱卷轴。
CannotResurrection;Server;You cannot use Resurrection Scrolls whilst alive;你在存活时不能使用复活卷轴。
CanNotDrop;Server;You cannot drop items on this map;你不能在这个地图丢弃物品。
NewMail;Server;New mail has arrived.;你收到了一封新邮件。
CouldNotFindPlayer;Server;Could not find player {0};找不到玩家 {0}。
AllowingMentorRequests;Server;You're now allowing mentor requests.;你现在允许师徒请求。
BlockingMentorRequests;Server;You're now blocking mentor requests.;你现在禁止师徒请求。
Welcome;Server;Welcome to the {0} Server.;欢迎来到 {0} 服务器。
